レースコード,レース日,レース場コード,レース回,状態,1枠_枠番pt,1枠_寄与_枠番pt,1枠_選手pt,1枠_寄与_選手pt,1枠_モーター2連率pt,1枠_寄与_モーター2連率pt,1枠_展示pt,1枠_寄与_展示pt,1枠_気象pt,1枠_寄与_気象pt,1枠_強さpt,2枠_枠番pt,2枠_寄与_枠番pt,2枠_選手pt,2枠_寄与_選手pt,2枠_モーター2連率pt,2枠_寄与_モーター2連率pt,2枠_展示pt,2枠_寄与_展示pt,2枠_気象pt,2枠_寄与_気象pt,2枠_強さpt,3枠_枠番pt,3枠_寄与_枠番pt,3枠_選手pt,3枠_寄与_選手pt,3枠_モーター2連率pt,3枠_寄与_モーター2連率pt,3枠_展示pt,3枠_寄与_展示pt,3枠_気象pt,3枠_寄与_気象pt,3枠_強さpt,4枠_枠番pt,4枠_寄与_枠番pt,4枠_選手pt,4枠_寄与_選手pt,4枠_モーター2連率pt,4枠_寄与_モーター2連率pt,4枠_展示pt,4枠_寄与_展示pt,4枠_気象pt,4枠_寄与_気象pt,4枠_強さpt,5枠_枠番pt,5枠_寄与_枠番pt,5枠_選手pt,5枠_寄与_選手pt,5枠_モーター2連率pt,5枠_寄与_モーター2連率pt,5枠_展示pt,5枠_寄与_展示pt,5枠_気象pt,5枠_寄与_気象pt,5枠_強さpt,6枠_枠番pt,6枠_寄与_枠番pt,6枠_選手pt,6枠_寄与_選手pt,6枠_モーター2連率pt,6枠_寄与_モーター2連率pt,6枠_展示pt,6枠_寄与_展示pt,6枠_気象pt,6枠_寄与_気象pt,6枠_強さpt
202607160707,2026-07-16,07,7R,daily,67.16,25.81,68.64,17.31,50.82,2.89,50.0,11.09,50.0,4.24,61.34,51.25,19.69,60.77,15.32,59.41,3.38,50.0,11.09,50.0,4.24,53.73,53.58,20.59,62.74,15.82,49.16,2.8,50.0,11.09,50.0,4.24,54.54,50.73,19.5,58.8,14.83,51.12,2.91,50.0,11.09,50.0,4.24,52.56,44.04,16.93,84.37,21.28,42.23,2.4,50.0,11.09,50.0,4.24,55.94,32.76,12.59,78.47,19.79,57.9,3.3,50.0,11.09,50.0,4.24,51.0
202607160708,2026-07-16,07,8R,daily,67.16,25.81,78.47,19.79,54.89,3.12,50.0,11.09,50.0,4.24,64.05,51.25,19.69,62.74,15.82,33.94,1.93,50.0,11.09,50.0,4.24,52.78,53.58,20.59,48.96,12.35,50.52,2.88,50.0,11.09,50.0,4.24,51.14,50.73,19.5,84.37,21.28,53.23,3.03,50.0,11.09,50.0,4.24,59.13,44.04,16.93,54.87,13.83,41.93,2.39,50.0,11.09,50.0,4.24,48.48,32.76,12.59,52.9,13.34,54.43,3.1,50.0,11.09,50.0,4.24,44.36
202607160709,2026-07-16,07,9R,daily,67.16,25.81,62.74,15.82,52.93,3.01,50.0,11.09,50.0,4.24,59.97,51.25,19.69,64.7,16.32,35.45,2.02,50.0,11.09,50.0,4.24,53.36,53.58,20.59,80.44,20.28,45.69,2.6,50.0,11.09,50.0,4.24,58.81,50.73,19.5,54.87,13.83,61.21,3.48,50.0,11.09,50.0,4.24,52.15,44.04,16.93,56.83,14.33,41.33,2.35,50.0,11.09,50.0,4.24,48.94,32.76,12.59,58.8,14.83,59.86,3.41,50.0,11.09,50.0,4.24,46.16
202607160710,2026-07-16,07,10R,daily,67.16,25.81,68.64,17.31,44.34,2.52,50.0,11.09,50.0,4.24,60.97,51.25,19.69,92.24,23.26,38.61,2.2,50.0,11.09,50.0,4.24,60.48,53.58,20.59,56.83,14.33,52.78,3.0,50.0,11.09,50.0,4.24,53.26,50.73,19.5,60.77,15.32,48.71,2.77,50.0,11.09,50.0,4.24,52.92,44.04,16.93,52.9,13.34,50.22,2.86,50.0,11.09,50.0,4.24,48.45,32.76,12.59,76.51,19.29,66.34,3.78,50.0,11.09,50.0,4.24,50.99
202607160711,2026-07-16,07,11R,daily,67.16,25.81,78.47,19.79,67.39,3.84,50.0,11.09,50.0,4.24,64.76,51.25,19.69,84.37,21.28,44.64,2.54,50.0,11.09,50.0,4.24,58.84,53.58,20.59,56.83,14.33,54.13,3.08,50.0,11.09,50.0,4.24,53.33,50.73,19.5,64.7,16.32,57.9,3.3,50.0,11.09,50.0,4.24,54.44,44.04,16.93,68.64,17.31,50.82,2.89,50.0,11.09,50.0,4.24,52.46,32.76,12.59,74.54,18.8,59.11,3.36,50.0,11.09,50.0,4.24,50.08
202607160712,2026-07-16,07,12R,daily,67.16,25.81,60.77,15.32,54.43,3.1,50.0,11.09,50.0,4.24,59.56,51.25,19.69,52.9,13.34,41.48,2.36,50.0,11.09,50.0,4.24,50.72,53.58,20.59,50.93,12.84,46.6,2.65,50.0,11.09,50.0,4.24,51.42,50.73,19.5,60.77,15.32,46.6,2.65,50.0,11.09,50.0,4.24,52.8,44.04,16.93,58.8,14.83,51.12,2.91,50.0,11.09,50.0,4.24,49.99,32.76,12.59,50.93,12.84,39.67,2.26,50.0,11.09,50.0,4.24,43.02
202607160801,2026-07-16,08,1R,daily,68.66,26.13,49.89,10.24,47.92,2.97,50.0,12.7,50.0,4.91,56.95,51.41,19.57,42.27,8.67,59.23,3.67,50.0,12.7,50.0,4.91,49.52,50.19,19.11,42.27,8.67,50.19,3.11,50.0,12.7,50.0,4.91,48.5,48.07,18.3,42.27,8.67,56.26,3.49,50.0,12.7,50.0,4.91,48.06,44.2,16.82,44.17,9.06,47.57,2.95,50.0,12.7,50.0,4.91,46.45,36.98,14.08,47.98,9.85,66.74,4.13,50.0,12.7,50.0,4.91,45.67
202607160801,2026-07-16,08,1R,realtime,68.66,26.13,49.89,10.24,47.92,2.97,73.2,18.6,52.16,5.12,63.06,51.41,19.57,42.27,8.67,59.23,3.67,52.18,13.26,53.84,5.28,50.45,50.19,19.11,42.27,8.67,50.19,3.11,31.55,8.02,58.96,5.78,44.69,48.07,18.3,42.27,8.67,56.26,3.49,49.89,12.68,48.76,4.78,47.91,44.2,16.82,44.17,9.06,47.57,2.95,38.21,9.71,42.72,4.19,42.74,36.98,14.08,47.98,9.85,66.74,4.13,55.06,13.99,43.5,4.27,46.31
202607160802,2026-07-16,08,2R,daily,68.66,26.13,42.27,8.67,48.88,3.03,50.0,12.7,50.0,4.91,55.45,51.41,19.57,44.17,9.06,46.26,2.87,50.0,12.7,50.0,4.91,49.11,50.19,19.11,49.89,10.24,51.02,3.16,50.0,12.7,50.0,4.91,50.11,48.07,18.3,46.08,9.46,50.78,3.15,50.0,12.7,50.0,4.91,48.51,44.2,16.82,59.42,12.19,54.0,3.35,50.0,12.7,50.0,4.91,49.97,36.98,14.08,34.64,7.11,43.16,2.67,50.0,12.7,50.0,4.91,41.47
202607160802,2026-07-16,08,2R,realtime,68.66,26.13,42.27,8.67,48.88,3.03,67.31,17.1,52.16,5.12,60.06,51.41,19.57,44.17,9.06,46.26,2.87,45.16,11.47,53.84,5.28,48.26,50.19,19.11,49.89,10.24,51.02,3.16,39.51,10.04,58.96,5.78,48.33,48.07,18.3,46.08,9.46,50.78,3.15,54.15,13.76,48.76,4.78,49.44,44.2,16.82,59.42,12.19,54.0,3.35,50.7,12.88,42.72,4.19,49.44,36.98,14.08,34.64,7.11,43.16,2.67,43.27,10.99,43.5,4.27,39.12
