レースコード,レース日,レース場,レース回,締切時刻,取得日時,3連複_1=2=3,3連複_1=2=4,3連複_1=2=5,3連複_1=2=6,3連複_1=3=4,3連複_1=3=5,3連複_1=3=6,3連複_1=4=5,3連複_1=4=6,3連複_1=5=6,3連複_2=3=4,3連複_2=3=5,3連複_2=3=6,3連複_2=4=5,3連複_2=4=6,3連複_2=5=6,3連複_3=4=5,3連複_3=4=6,3連複_3=5=6,3連複_4=5=6,拡連複_1=2_下限,拡連複_1=2_上限,拡連複_1=3_下限,拡連複_1=3_上限,拡連複_1=4_下限,拡連複_1=4_上限,拡連複_1=5_下限,拡連複_1=5_上限,拡連複_1=6_下限,拡連複_1=6_上限,拡連複_2=3_下限,拡連複_2=3_上限,拡連複_2=4_下限,拡連複_2=4_上限,拡連複_2=5_下限,拡連複_2=5_上限,拡連複_2=6_下限,拡連複_2=6_上限,拡連複_3=4_下限,拡連複_3=4_上限,拡連複_3=5_下限,拡連複_3=5_上限,拡連複_3=6_下限,拡連複_3=6_上限,拡連複_4=5_下限,拡連複_4=5_上限,拡連複_4=6_下限,拡連複_4=6_上限,拡連複_5=6_下限,拡連複_5=6_上限,単勝_1,単勝_2,単勝_3,単勝_4,単勝_5,単勝_6,複勝_1_下限,複勝_1_上限,複勝_2_下限,複勝_2_上限,複勝_3_下限,複勝_3_上限,複勝_4_下限,複勝_4_上限,複勝_5_下限,複勝_5_上限,複勝_6_下限,複勝_6_上限
202608200202,2026-08-20,02,02R,11:16,2026-08-20T11:06:22.652696+09:00,8.2,22.0,6.0,34.9,28.2,10.4,34.9,8.0,45.6,14.4,12.9,5.5,49.5,6.6,118.8,34.9,13.5,99.0,49.5,42.4,3.7,4.4,5.2,6.3,4.9,5.3,2.1,2.3,5.6,6.3,1.6,1.9,3.4,4.0,2.3,2.8,10.5,11.7,3.6,4.3,2.2,2.6,8.1,9.1,4.9,5.3,5.3,5.3,4.9,5.3,7.6,22.8,3.5,3.5,3.2,3.5,1.1,5.2,0.0,0.0,1.1,5.2,0.0,0.0,1.0,1.0,0.0,0.0
202608202107,2026-08-20,21,07R,11:20,2026-08-20T11:10:38.258761+09:00,4.2,10.8,8.1,58.6,5.8,9.1,48.8,11.2,29.3,73.3,12.2,11.2,293.2,11.2,48.8,293.2,10.8,48.8,73.3,58.6,1.8,8.2,1.3,5.1,1.0,1.6,2.8,13.7,0.0,0.0,4.0,13.7,2.5,13.7,6.3,20.6,0.0,0.0,1.8,10.3,0.0,0.0,0.0,0.0,3.8,20.6,0.0,0.0,0.0,0.0,1.0,0.0,3.3,0.0,0.0,0.0,1.0,1.2,1.1,3.7,0.0,0.0,0.0,0.0,0.0,0.0,1.1,3.7
202608201303,2026-08-20,13,03R,11:26,2026-08-20T11:16:21.938144+09:00,18.6,74.6,8.7,49.7,11.4,6.2,21.3,5.7,74.6,149.2,16.5,9.9,49.7,8.7,49.7,149.2,4.3,37.3,18.6,74.6,4.8,15.3,9.0,12.0,0.0,0.0,3.5,3.8,9.7,30.7,9.0,12.0,0.0,0.0,3.5,3.8,9.7,30.7,1.1,1.8,1.6,2.9,9.5,12.0,1.0,1.5,0.0,0.0,9.5,10.8,1.1,0.0,6.7,13.5,4.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202608202307,2026-08-20,23,07R,11:28,2026-08-20T11:18:26.315564+09:00,1.0,59.2,143.7,67.1,17.0,59.2,12.4,335.5,167.7,201.3,41.9,111.8,52.9,201.3,100.6,1006,167.7,91.5,335.5,1006,2.4,5.2,1.0,1.0,3.0,6.5,3.2,6.5,2.6,5.3,1.9,4.0,6.0,6.6,12.0,12.7,11.8,12.7,2.5,5.4,10.7,25.0,5.5,12.8,23.7,25.0,12.0,12.8,23.5,25.0,1.2,7.5,3.0,15.0,0.0,0.0,1.0,1.7,1.0,2.1,3.3,10.5,0.0,0.0,1.8,5.2,0.0,0.0
202608201103,2026-08-20,11,03R,11:30,2026-08-20T11:20:31.997007+09:00,2.2,4.1,11.1,8.1,12.0,16.2,16.2,42.3,24.8,42.3,35.2,47.0,105.7,52.8,0.0,211.5,35.2,70.5,84.6,105.7,1.0,1.0,1.2,2.7,5.1,13.3,3.3,9.0,2.8,7.0,1.6,4.8,5.1,13.6,2.3,5.7,4.8,13.6,15.5,54.7,7.8,27.3,0.0,0.0,17.0,54.7,0.0,0.0,0.0,0.0,1.0,39.0,39.0,0.0,39.0,0.0,1.0,1.0,0.0,0.0,1.1,93.0,0.0,0.0,0.0,0.0,1.1,93.0
202608200903,2026-08-20,09,03R,11:31,2026-08-20T11:22:36.351277+09:00,14.7,31.5,8.4,20.0,9.5,4.6,22.0,4.5,24.5,16.9,22.0,36.7,55.1,27.5,44.1,55.1,10.5,24.5,27.5,22.0,1.4,2.0,1.1,1.4,2.4,4.7,1.7,3.2,9.3,12.7,0.0,0.0,0.0,0.0,6.3,27.0,0.0,0.0,5.7,27.0,2.9,13.5,0.0,0.0,2.5,7.7,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,1.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202608200501,2026-08-20,05,01R,11:33,2026-08-20T11:24:33.716578+09:00,8.4,4.1,5.4,8.2,35.6,33.3,44.5,19.7,41.0,19.0,19.7,12.7,44.5,7.6,28.1,11.8,53.4,133.5,133.5,44.5,1.7,1.9,21.7,41.6,2.3,3.0,1.9,2.4,7.5,14.3,2.6,3.8,2.0,2.3,1.8,2.1,2.6,3.8,22.5,41.2,11.3,21.3,0.0,0.0,3.1,3.9,6.0,10.8,22.2,42.0,1.3,2.5,0.0,4.5,0.0,0.0,1.6,2.4,1.1,1.2,3.0,4.5,3.0,4.5,3.0,4.5,1.6,2.4
202608201807,2026-08-20,18,07R,11:36,2026-08-20T11:26:29.884166+09:00,3.4,16.5,6.6,11.3,12.1,8.4,12.1,45.3,60.5,20.1,19.1,12.9,16.5,40.3,45.3,24.2,51.8,45.3,36.3,45.3,1.0,1.0,1.4,2.5,5.9,10.3,2.4,5.8,4.2,10.0,1.5,2.6,4.2,7.1,2.7,7.1,5.9,15.0,12.3,13.8,6.1,10.5,9.3,15.3,38.2,61.8,20.0,31.3,0.0,0.0,1.0,6.9,4.6,0.0,69.7,0.0,1.0,1.1,1.2,4.7,1.2,4.7,3.0,14.2,0.0,0.0,0.0,0.0
202608201603,2026-08-20,16,03R,11:39,2026-08-20T11:30:35.526177+09:00,6.3,30.9,66.2,6.6,21.4,24.6,2.0,132.4,21.1,36.4,45.5,80.9,6.7,291.3,42.8,112.0,104.0,16.5,28.0,104.0,2.3,3.0,1.4,1.9,16.8,20.9,12.6,15.8,1.3,1.6,2.1,2.5,13.7,15.9,27.0,31.1,2.4,3.1,5.6,6.4,5.6,6.4,1.4,1.9,29.3,31.1,16.8,20.9,12.6,15.8,2.7,27.0,1.8,13.5,40.5,3.6,1.6,2.2,4.6,6.5,1.1,1.5,4.6,6.5,6.7,9.3,1.1,1.4
202608200203,2026-08-20,02,03R,11:45,2026-08-20T11:36:31.059203+09:00,31.7,10.4,33.2,6.5,20.2,33.2,18.7,11.5,5.2,10.5,19.7,48.7,48.7,19.7,19.7,34.7,29.2,20.2,30.4,5.5,6.0,7.0,8.4,9.8,2.2,2.7,6.5,8.2,2.0,2.3,8.8,9.8,3.4,3.8,6.8,8.2,2.9,3.2,3.5,3.8,19.5,23.3,4.0,4.6,1.8,2.0,1.8,2.0,3.9,5.0,2.8,35.2,7.8,5.4,6.4,2.0,0.0,0.0,1.5,3.0,1.5,3.0,1.5,3.0,0.0,0.0,1.5,3.0
