登録番号,重み付き和,重み付き二乗和,重み計,基準日
3711,4.9060411694,0.8676299434,31.1067668797,2026-09-15
3712,3.2263723544,0.5293551299,23.0597886348,2026-09-15
3713,5.1001980683,0.9430651427,29.6502817651,2026-09-15
3714,3.9517770166,0.6649695184,27.4689074597,2026-09-15
3715,3.8664085149,0.7699576357,24.0623633646,2026-09-15
3716,3.6861272388,0.5363597101,29.2381336864,2026-09-15
3717,3.1462074643,0.5467768233,21.4195417749,2026-09-15
3718,4.9591677279,1.0380782063,27.4318228065,2026-09-15
3719,4.4431940988,0.7628416537,29.1800092799,2026-09-15
3721,4.2041192773,0.5762060443,36.4315408547,2026-09-15
3722,3.2374788278,0.5939818968,19.8160497064,2026-09-15
3726,2.8070504139,0.5205544105,17.8248715303,2026-09-15
3730,4.22886868,0.7856765798,26.4326352927,2026-09-15
3731,4.0600347533,0.7311481837,25.0400969103,2026-09-15
3736,0.4285943506,0.1095956711,1.681905057,2026-09-15
3737,3.3437550313,0.5403896703,24.7649765095,2026-09-15
3740,4.9911585311,0.8751279053,32.7338213461,2026-09-15
3741,3.5393787451,0.632695597,21.7958080372,2026-09-15
3742,4.3338199265,0.8771090815,24.8931197048,2026-09-15
3743,5.0604654364,0.9081433066,32.6274581542,2026-09-15
3744,4.4196328855,0.6827299318,36.4885154098,2026-09-15
3745,4.1630875973,0.7708473956,26.1366447488,2026-09-15
3746,5.4097595848,0.946616469,33.713570097,2026-09-15
3747,3.7128015645,0.6360998971,24.5509272058,2026-09-15
3748,3.3157786816,0.6483453934,19.3977730369,2026-09-15
3752,3.2257387099,0.5350579647,22.137165215,2026-09-15
3757,4.7602826155,0.9301500926,28.5519739341,2026-09-15
3761,3.0752469071,0.5335583652,20.2502564976,2026-09-15
3769,4.5748201632,0.8485695154,28.2112668456,2026-09-15
3771,3.7424785869,0.6063015067,27.1741094481,2026-09-15
3772,3.4187021367,0.5338222785,25.3021066427,2026-09-15
3773,3.329569996,0.6339236523,21.5539710393,2026-09-15
3775,4.8422860776,0.9302860947,28.9248841667,2026-09-15
3776,3.9856147893,0.8669403918,22.6401565775,2026-09-15
3777,4.8253369067,1.0145741253,25.8208472348,2026-09-15
3778,2.511308483,0.5684318148,12.7878703819,2026-09-15
3779,2.3104553247,0.3024500434,21.5432849335,2026-09-15
3783,4.1925601773,0.6872358987,29.9801617051,2026-09-15
3784,3.7110567602,0.6936089245,23.6068460557,2026-09-15
3787,1.9869571294,0.4341398809,10.1104677234,2026-09-15
3788,2.4127695054,0.3885664473,18.2679792468,2026-09-15
3790,3.4833097529,0.6399585175,22.4307730345,2026-09-15
3792,4.373279497,0.8125729495,25.3713256105,2026-09-15
3793,3.4988712199,0.6754221365,23.4150398303,2026-09-15
3796,4.2869245053,0.8287156378,27.1327264449,2026-09-15
3797,5.0745732045,1.0774142135,25.757421132,2026-09-15
3800,4.3755571163,0.9123825066,26.7071268693,2026-09-15
3801,3.0923711808,0.623654816,17.4147015263,2026-09-15
3804,5.1496336867,0.9526496851,32.2845031813,2026-09-15
3805,3.7064390675,0.5305293401,29.2600640241,2026-09-15
3807,4.1045054954,0.7565910301,26.6857887147,2026-09-15
3808,2.442175946,0.4658015036,14.954411201,2026-09-15
3809,3.2299190325,0.6522022366,18.2109862755,2026-09-15
3811,4.9934894163,0.8896834978,32.3394275188,2026-09-15
3812,3.9547581634,0.7991375598,23.199445213,2026-09-15
3813,5.0143179219,0.9628972531,29.6578598873,2026-09-15
3814,6.1481623277,1.3812261671,30.6333365477,2026-09-15
3820,0.2011629007,0.0395702319,1.2519486147,2026-09-15
3822,3.640797171,0.6019449041,25.0805468509,2026-09-15
3825,3.6483447422,0.7379414469,24.585405586,2026-09-15
3826,3.089360958,0.53774141,20.9326638218,2026-09-15
