レースコード,レース日,レース場コード,レース回,状態,1枠_コースpt,1枠_寄与_コースpt,1枠_選手pt,1枠_寄与_選手pt,1枠_モーターpt,1枠_寄与_モーターpt,1枠_展示pt,1枠_寄与_展示pt,1枠_気象pt,1枠_寄与_気象pt,1枠_強さpt,2枠_コースpt,2枠_寄与_コースpt,2枠_選手pt,2枠_寄与_選手pt,2枠_モーターpt,2枠_寄与_モーターpt,2枠_展示pt,2枠_寄与_展示pt,2枠_気象pt,2枠_寄与_気象pt,2枠_強さpt,3枠_コースpt,3枠_寄与_コースpt,3枠_選手pt,3枠_寄与_選手pt,3枠_モーターpt,3枠_寄与_モーターpt,3枠_展示pt,3枠_寄与_展示pt,3枠_気象pt,3枠_寄与_気象pt,3枠_強さpt,4枠_コースpt,4枠_寄与_コースpt,4枠_選手pt,4枠_寄与_選手pt,4枠_モーターpt,4枠_寄与_モーターpt,4枠_展示pt,4枠_寄与_展示pt,4枠_気象pt,4枠_寄与_気象pt,4枠_強さpt,5枠_コースpt,5枠_寄与_コースpt,5枠_選手pt,5枠_寄与_選手pt,5枠_モーターpt,5枠_寄与_モーターpt,5枠_展示pt,5枠_寄与_展示pt,5枠_気象pt,5枠_寄与_気象pt,5枠_強さpt,6枠_コースpt,6枠_寄与_コースpt,6枠_選手pt,6枠_寄与_選手pt,6枠_モーターpt,6枠_寄与_モーターpt,6枠_展示pt,6枠_寄与_展示pt,6枠_気象pt,6枠_寄与_気象pt,6枠_強さpt
202607291903,2026-07-29,19,3R,daily,69.29,28.14,44.58,10.19,54.03,4.9,50.0,9.45,50.0,4.28,56.96,46.13,18.73,49.13,11.23,53.97,4.9,50.0,9.45,50.0,4.28,48.59,48.66,19.76,55.94,12.78,39.98,3.63,50.0,9.45,50.0,4.28,49.91,47.43,19.26,55.94,12.78,37.06,3.36,50.0,9.45,50.0,4.28,49.14,45.51,18.48,55.94,12.78,55.03,5.0,50.0,9.45,50.0,4.28,49.99,42.9,17.42,33.22,7.59,62.21,5.65,50.0,9.45,50.0,4.28,44.39
202607291903,2026-07-29,19,3R,realtime,69.29,28.14,44.58,10.19,57.19,5.19,35.41,6.7,46.93,4.01,54.23,46.13,18.73,49.13,11.23,50.76,4.61,68.33,12.92,63.6,5.44,52.93,48.66,19.76,55.94,12.78,43.62,3.96,45.87,8.67,39.95,3.42,48.6,47.43,19.26,55.94,12.78,33.0,3.0,55.24,10.45,61.04,5.22,50.71,45.51,18.48,55.94,12.78,69.6,6.32,58.46,11.05,44.21,3.78,52.42,42.9,17.42,33.22,7.59,65.11,5.91,36.67,6.93,44.24,3.78,41.64
202607291904,2026-07-29,19,4R,daily,68.89,27.98,49.13,11.23,42.76,3.88,50.0,9.45,50.0,4.28,56.82,47.25,19.19,55.94,12.78,46.19,4.19,50.0,9.45,50.0,4.28,49.89,49.52,20.11,51.4,11.75,52.85,4.8,50.0,9.45,50.0,4.28,50.38,46.37,18.83,51.4,11.75,43.57,3.96,50.0,9.45,50.0,4.28,48.26,45.26,18.38,53.67,12.26,32.39,2.94,50.0,9.45,50.0,4.28,47.31,42.63,17.31,44.58,10.19,60.32,5.48,50.0,9.45,50.0,4.28,46.71
202607291904,2026-07-29,19,4R,realtime,68.89,27.98,49.13,11.23,42.34,3.84,64.33,12.17,41.4,3.54,58.75,47.25,19.19,55.94,12.78,41.98,3.81,50.77,9.6,63.44,5.42,50.81,49.52,20.11,51.4,11.75,60.09,5.45,61.81,11.69,40.2,3.44,52.44,46.37,18.83,51.4,11.75,34.89,3.17,36.53,6.91,64.07,5.48,46.13,45.26,18.38,53.67,12.26,32.07,2.91,39.3,7.43,49.07,4.2,45.18,42.63,17.31,44.58,10.19,67.35,6.11,47.24,8.93,41.8,3.57,46.12
202607291905,2026-07-29,19,5R,daily,72.29,29.36,51.4,11.75,51.75,4.7,50.0,9.45,50.0,4.28,59.53,47.49,19.29,55.94,12.78,51.73,4.7,50.0,9.45,50.0,4.28,50.5,47.84,19.43,40.04,9.15,45.49,4.13,50.0,9.45,50.0,4.28,46.44,45.53,18.49,49.13,11.23,58.19,5.28,50.0,9.45,50.0,4.28,48.73,44.43,18.04,51.4,11.75,57.08,5.18,50.0,9.45,50.0,4.28,48.7,42.35,17.2,33.22,7.59,37.64,3.42,50.0,9.45,50.0,4.28,41.94
202607291905,2026-07-29,19,5R,realtime,72.29,29.36,51.4,11.75,56.39,5.12,68.38,12.93,41.89,3.58,62.73,47.49,19.29,55.94,12.78,59.35,5.39,63.81,12.07,53.86,4.6,54.13,47.84,19.43,40.04,9.15,46.23,4.2,44.5,8.42,45.81,3.92,45.11,45.53,18.49,49.13,11.23,53.61,4.87,29.61,5.6,57.17,4.89,45.07,44.43,18.04,51.4,11.75,54.05,4.91,53.24,10.07,56.69,4.85,49.61,42.35,17.2,33.22,7.59,32.11,2.92,40.44,7.65,44.55,3.81,39.16
202607291906,2026-07-29,19,6R,daily,68.35,27.76,51.4,11.75,28.72,2.61,50.0,9.45,50.0,4.28,55.84,48.89,19.85,53.67,12.26,62.06,5.63,50.0,9.45,50.0,4.28,51.48,49.25,20.0,40.04,9.15,56.43,5.12,50.0,9.45,50.0,4.28,48.0,46.64,18.94,49.13,11.23,66.83,6.07,50.0,9.45,50.0,4.28,49.97,44.44,18.05,42.31,9.67,45.07,4.09,50.0,9.45,50.0,4.28,45.54,42.36,17.2,51.4,11.75,38.05,3.45,50.0,9.45,50.0,4.28,46.13
202607291906,2026-07-29,19,6R,realtime,68.35,27.76,51.4,11.75,30.51,2.77,54.9,10.38,41.89,3.58,56.23,48.89,19.85,53.67,12.26,66.67,6.05,49.92,9.44,53.86,4.6,52.22,49.25,20.0,40.04,9.15,52.04,4.72,46.67,8.83,45.81,3.92,46.62,46.64,18.94,49.13,11.23,57.79,5.25,51.68,9.77,57.17,4.89,50.08,44.44,18.05,42.31,9.67,50.58,4.59,38.11,7.21,56.69,4.85,44.36,42.36,17.2,51.4,11.75,51.13,4.64,58.73,11.1,44.55,3.81,48.5
202607291907,2026-07-29,19,7R,daily,71.09,28.87,51.4,11.75,66.11,6.0,50.0,9.45,50.0,4.28,60.35,46.7,18.97,40.04,9.15,52.3,4.75,50.0,9.45,50.0,4.28,46.59,47.88,19.44,49.13,11.23,53.97,4.9,50.0,9.45,50.0,4.28,49.3,47.2,19.17,46.86,10.71,44.13,4.01,50.0,9.45,50.0,4.28,47.61,44.17,17.94,76.39,17.46,56.15,5.1,50.0,9.45,50.0,4.28,54.22,42.9,17.42,49.13,11.23,48.2,4.38,50.0,9.45,50.0,4.28,46.75
202607291907,2026-07-29,19,7R,realtime,71.09,28.87,51.4,11.75,64.72,5.88,61.66,11.66,44.66,3.82,61.97,46.7,18.97,40.04,9.15,49.06,4.45,41.32,7.81,53.93,4.61,44.99,47.88,19.44,49.13,11.23,50.76,4.61,66.29,12.53,45.69,3.91,51.72,42.9,17.42,46.86,10.71,32.04,2.91,34.55,6.53,45.77,3.91,41.48,47.2,19.17,76.39,17.46,53.94,4.9,51.13,9.67,55.66,4.76,55.95,44.17,17.94,49.13,11.23,46.39,4.21,45.05,8.52,54.26,4.64,46.53
