レースコード,レース日,レース場,レース回,締切時刻,取得日時,単勝_艇番,単勝_払戻金,複勝_1着_艇番,複勝_1着_払戻金,複勝_2着_艇番,複勝_2着_払戻金,複勝_3着_艇番,複勝_3着_払戻金,2連単_組番,2連単_払戻金,2連単_人気,2連複_組番,2連複_払戻金,2連複_人気,拡連複_1-2着_組番,拡連複_1-2着_払戻金,拡連複_1-2着_人気,拡連複_1-3着_組番,拡連複_1-3着_払戻金,拡連複_1-3着_人気,拡連複_2-3着_組番,拡連複_2-3着_払戻金,拡連複_2-3着_人気,3連単_組番,3連単_払戻金,3連単_人気,3連複_組番,3連複_払戻金,3連複_人気
202607022109,2026-07-02,21,09R,12:22,2026-07-02T12:30:25.989365+09:00,1,110,1,100,4,110,,,1-4,240,1,1=4,280,2,1=4,150,1,1=3,160,2,3=4,220,4,1-4-3,580,2,1=3=4,230,1
202607020402,2026-07-02,04,02R,12:24,2026-07-02T12:32:25.269237+09:00,1,110,1,100,2,220,,,1-2,280,1,1=2,150,1,1=2,120,1,1=3,150,2,2=3,270,5,1-2-3,650,1,1=2=3,360,1
202607021105,2026-07-02,11,05R,12:27,2026-07-02T12:36:27.097893+09:00,5,670,5,160,4,100,,,5-4,2380,13,4=5,880,5,4=5,310,7,2=5,250,3,2=4,290,5,5-4-2,3370,10,2=4=5,240,1
202607020503,2026-07-02,05,03R,12:30,2026-07-02T12:40:26.437760+09:00,1,170,1,130,2,100,,,1-2,400,1,1=2,220,1,1=2,130,1,1=4,510,9,2=4,170,3,1-2-4,1610,4,1=2=4,930,3
202607022309,2026-07-02,23,09R,12:36,2026-07-02T12:44:21.351328+09:00,1,290,1,120,3,100,,,1-3,1100,5,1=3,610,3,1=3,250,3,1=5,550,10,3=5,390,6,1-3-5,3070,12,1=3=5,2300,7
202607020603,2026-07-02,06,03R,12:42,2026-07-02T12:52:23.767368+09:00,1,100,1,100,6,260,,,1-6,260,2,1=6,770,4,1=6,250,4,1=4,210,3,4=6,890,9,1-6-4,1490,8,1=4=6,580,4
202607020805,2026-07-02,08,05R,12:40,2026-07-02T12:52:23.767368+09:00,5,910,5,350,1,160,,,5-1,2520,12,1=5,1660,6,1=5,260,4,4=5,420,6,1=4,910,10,5-1-4,14020,41,1=4=5,2980,9
202607022202,2026-07-02,22,02R,12:47,2026-07-02T12:56:24.789684+09:00,1,180,1,100,3,100,,,1-3,300,1,1=3,140,1,1=3,110,1,1=6,180,4,3=6,180,3,1-3-6,630,1,1=3=6,200,1
202607021605,2026-07-02,16,05R,12:51,2026-07-02T13:00:41.676707+09:00,1,240,1,100,4,170,,,1-4,550,2,1=4,330,2,1=4,190,3,1=3,170,2,3=4,350,8,1-4-3,2290,7,1=3=4,630,3
202607020403,2026-07-02,04,03R,12:54,2026-07-02T13:02:26.626235+09:00,3,190,3,110,1,120,,,3-1,430,2,1=3,180,1,1=3,130,1,3=6,150,2,1=6,180,3,3-1-6,1320,3,1=3=6,300,1
