date,stadium,race_round,title,race_code,tansho,fukusho,wakren,fuku2,santan,sanfuku,santan_yosoku,sanfuku_yosoku,rentan,renfuku,rentan_yosoku,renfuku_yosoku,wide,wide_yosoku,trio,trio_yosoku,tiomate,r1_number,r1_name,r1_weight,r1_result,r1_time,r1_difference,r2_number,r2_name,r2_weight,r2_result,r2_time,r2_difference,r3_number,r3_name,r3_weight,r3_result,r3_time,r3_difference,r4_number,r4_name,r4_weight,r4_result,r4_time,r4_difference,r5_number,r5_name,r5_weight,r5_result,r5_time,r5_difference,r6_number,r6_name,r6_weight,r6_result,r6_time,r6_difference
2025-12-29,大村,06R,一般戦　　　                 H1800m  雨　  風  南　　 1m  波　  2cm,136,,,,,,,,,,,,,,,,,,6,田 頭 実,56.0,1,,,4,小 野 達 哉,66.0,2,,,3,桂 林 寛,13.0,3,,,1,神 里 琴 音,11.0,4,,,2,上 瀧 絢 也 71,146.0,5,,,5,西 村 仁 吾 21,122.0,6,,
2025-12-29,大村,07R,一般戦　　　                 H1800m  雨　  風  南　　 1m  波　  2cm,137,,,,,,,,,,,,,,,,,,1,権 藤 俊 光,68.0,1,,,2,中 島 友 和,63.0,2,,,6,村 上 遼,50.0,3,,,3,村 本 大 成,61.0,4,,,4,真 子 奈津実 27,134.0,5,,,5,小 林 孝 弘 42,164.0,6,,
2025-12-29,大村,08R,一般戦　　　                 H1800m  曇り  風  南　　 1m  波　  2cm,138,,,,,,,,,,,,,,,,,,1,岡 村 仁,26.0,1,,,2,奥 村 明日香,38.0,2,,,4,橋 本 英 一,24.0,3,,,3,高 木 圭 大,75.0,4,,,6,森 晋太郎 64,157.0,5,,,,,,,,
2025-12-29,大村,09R,一般戦　　　                 H1800m  曇り  風  南　　 1m  波　  2cm,139,,,,,,,,,,,,,,,,,,5,出 畑 孝 成,25.0,1,,,1,池 田 剛 規,20.0,2,,,2,嶋 田 有 里,30.0,3,,,3,和 合 俊 介,44.0,4,,,4,畑 和 宏 35,113.0,5,,,6,津 留 浩一郎 15,118.0,6,,
2025-12-29,大村,10R,R       準優勝戦　　                 H1800m  曇り  風  南　　 1m  波　  2cm,1310,,,,,,,,,,,,,,,,,,1,田 頭 実,56.0,1,,,2,湯 川 浩 司,39.0,2,,,4,熊 本 英 一,40.0,3,,,6,岡 村 将 也,46.0,4,,,3,百 武 翔 70,147.0,5,,,5,小 松 卓 司 45,167.0,6,,
2025-12-29,大村,11R,R       準優勝戦　　                 H1800m  晴　  風  南　　 1m  波　  2cm,1311,,,,,,,,,,,,,,,,,,1,村 上 遼,50.0,1,,,3,谷 川 将 太,49.0,2,,,6,北 村 寧 々,48.0,3,,,2,石 川 真 二,43.0,4,,,5,神 里 琴 音 11,129.0,5,,,4,佃 來 紀 57,135.0,6,,
2025-12-29,大村,12R,R       準優勝戦　　                 H1800m  晴　  風  南　　 1m  波　  2cm,1312,,,,,,,,,,,,,,,,,,1,山 崎 郡,51.0,1,,,2,坪 口 竜 也,47.0,2,,,3,小 野 達 哉,66.0,3,,,4,権 藤 俊 光,68.0,4,,,5,小 林 文 彦 28,161.0,5,,,6,岡 村 仁 26,173.0,6,,
2025-12-29,大村,01R,サンライズＶ                 H1800m  曇り  風  南　　 1m  波　  1cm,131,,,,,,,,,,,,,,,,,,2,上 野 秀 和,43.0,1,,,4,齊 藤 廉,22.0,2,,,6,香 月 大 輝,17.0,3,,,3,柴 田 直 哉,48.0,4,,,1,出 畑 孝 典 16,163.0,5,,,5,安 武 一 也 9,157.0,6,,
2025-12-29,大村,02R,サンライズＷ                 H1800m  曇り  風  南　　 2m  波　  2cm,132,,,,,,,,,,,,,,,,,,3,仲 本 舜,60.0,1,,,1,山ノ内 雅 人,33.0,2,,,4,羽 野 直 也,45.0,3,,,2,寳 田 亮 治,32.0,4,,,6,小 川 晃 司 11,123.0,5,,,5,小 野 京 平 38,168.0,6,,
2025-12-29,大村,03R,サンライズＸ                 H1800m  曇り  風  南西　 2m  波　  2cm,133,,,,,,,,,,,,,,,,,,1,郷 原 章 平,37.0,1,,,3,岡 崎 恭 裕,42.0,2,,,2,占 部 一 真,56.0,3,,,4,山 口 修 路,12.0,4,,,5,宮 脇 遼 太 1,120.0,5,,,6,山 下 心 一 35,164.0,6,,
2025-12-29,大村,04R,サンライズＹ  進入固定       H1800m  曇り  風  南西　 2m  波　  2cm,134,,,,,,,,,,,,,,,,,,1,新 開 航,54.0,1,,,3,松 本 真 広,46.0,2,,,4,安 東 幸 治,8.0,3,,,2,小 川 日紀太,15.0,4,,,5,大 野 芳 顕 39,158.0,5,,,6,宮 本 琉 正 28,149.0,6,,
2025-12-29,大村,05R,サンライズＺ                 H1800m  曇り  風  南　　 2m  波　  2cm,135,,,,,,,,,,,,,,,,,,1,永 田 啓 二,18.0,1,,,3,坂 井 滉 哉,36.0,2,,,2,山 田 丈,55.0,3,,,5,三 川 昂 暁,26.0,4,,,4,森 口 和 紀 6,156.0,5,,,6,安 武 一 也 9,157.0,6,,
2025-12-29,大村,06R,予選　　　　                 H1800m  曇り  風  南　　 2m  波　  2cm,136,,,,,,,,,,,,,,,,,,1,柴 田 直 哉,48.0,1,,,2,河 野 真 也,59.0,2,,,5,小 川 晃 司,11.0,3,,,6,仲 谷 颯 仁,13.0,4,,,3,三 苫 晃 幸 58,160.0,5,,,4,浦 野 海 14,118.0,6,,
2025-12-29,大村,07R,予選　　　　  進入固定       H1800m  曇り  風  南　　 1m  波　  1cm,137,,,,,,,,,,,,,,,,,,2,井 上 慧 人,21.0,1,,,1,寳 田 亮 治,32.0,2,,,6,安河内 鈴之介,52.0,3,,,3,山 口 修 路,12.0,4,,,4,大 島 隆乃介 30,140.0,5,,,,,,,,
2025-12-29,大村,08R,予選　　　　                 H1800m  雨　  風  南　　 1m  波　  1cm,138,,,,,,,,,,,,,,,,,,1,西 川 拓 利,57.0,1,,,5,安 東 幸 治,8.0,2,,,2,原 田 才一郎,2.0,3,,,6,上 野 俊 樹,44.0,4,,,3,出 畑 孝 典 16,163.0,5,,,4,小 野 京 平 38,168.0,6,,
2025-12-29,大村,09R,予選　　　　                 H1800m  雨　  風  南西　 2m  波　  2cm,139,,,,,,,,,,,,,,,,,,1,宮 脇 遼 太,1.0,1,,,2,三 川 昂 暁,26.0,2,,,3,小 川 日紀太,15.0,3,,,6,川 上 剛,5.0,4,,,5,山ノ内 雅 人 33,131.0,5,,,4,香 月 大 輝 17,135.0,6,,
2025-12-29,大村,10R,R       予選　　　　                 H1800m  雨　  風  南　　 1m  波　  1cm,1310,,,,,,,,,,,,,,,,,,1,松 崎 祐太郎,19.0,1,,,3,國 崎 良 春,25.0,2,,,4,大 野 芳 顕,39.0,3,,,2,三 苫 晃 幸,58.0,4,,,6,山 田 丈 55,165.0,5,,,5,占 部 一 真 56,117.0,6,,
2025-12-29,大村,11R,R       予選特選　　                 H1800m  雨　  風  南　　 1m  波　  1cm,1311,,,,,,,,,,,,,,,,,,1,里 岡 右 貴,24.0,1,,,3,郷 原 章 平,37.0,2,,,2,大 島 隆乃介,30.0,3,,,6,竹 井 貴 史,49.0,4,,,4,上 原 健次郎 10,147.0,5,,,5,浦 野 海 14,118.0,6,,
2025-12-29,大村,12R,R       ドリームレー                 H1800m  雨　  風  南西　 4m  波　  4cm,1312,,,,,,,,,,,,,,,,,,1,羽 野 直 也,45.0,1,,,4,仲 谷 颯 仁,13.0,2,,,5,新 開 航,54.0,3,,,6,原 田 才一郎,2.0,4,,,3,永 田 啓 二 18,142.0,5,,,2,岡 崎 恭 裕 42,113.0,6,,
2025-12-29,大村,01R,予選　　　　                 H1800m  曇り  風  北西　 2m  波　  2cm,131,,,,,,,,,,,,,,,,,,1,寺 田 空 詩,45.0,1,,,2,小 林 一 樹,19.0,2,,,6,木 場 雄二郎,11.0,3,,,3,貫地谷 直 人,32.0,4,,,4,栗 山 繁 洋 62,30.0,5,,,5,小 畑 楓 夏 29,58.0,6,,
2025-12-29,大村,02R,予選　　　　                 H1800m  曇り  風  北西　 2m  波　  2cm,132,,,,,,,,,,,,,,,,,,3,山 田 真 聖,13.0,1,,,4,坂 口 貴 彦,14.0,2,,,2,村 上 彰 一,67.0,3,,,1,川 崎 誠 志,43.0,4,,,5,渡 邊 伸太郎 39,15.0,5,,,6,戸 田 海咲音 51,47.0,6,,
2025-12-29,大村,03R,予選　　　　                 H1800m  曇り  風  南西　 1m  波　  1cm,133,,,,,,,,,,,,,,,,,,6,海 野 康志郎,64.0,1,,,1,丸 山 祐 也,38.0,2,,,2,蒲 原 健 太,12.0,3,,,3,小 野 信 樹,30.0,4,,,5,出 穂 和 鼓 26,21.0,5,,,4,冨名腰 桃 奈 20,64.0,6,,
2025-12-29,大村,04R,予選　　　　                 H1800m  曇り  風  南西　 1m  波　  1cm,134,,,,,,,,,,,,,,,,,,6,佐々木 完 太,71.0,1,,,3,東 潤 樹,65.0,2,,,1,土 屋 蘭,25.0,3,,,4,大 神 康 司,42.0,4,,,5,寺 田 夢 生 48,70.0,5,,,,,,,,
2025-12-29,大村,05R,長州ファイブ                 H1800m  曇り  風  南西　 1m  波　  1cm,135,,,,,,,,,,,,,,,,,,1,渡 邉 翼,53.0,1,,,4,末 永 祐 輝,55.0,2,,,6,大 井 清 貴,28.0,3,,,2,江 本 真 治,34.0,4,,,5,庄 島 潤 成 47,11.0,5,,,3,野 田 彩 加 31,51.0,6,,
2025-12-29,大村,06R,予選　　　　                 H1800m  雨　  風  北　　 1m  波　  1cm,136,,,,,,,,,,,,,,,,,,3,柳 生 泰 二,49.0,1,,,1,柳 瀬 興 志,44.0,2,,,2,竹 田 辰 也,36.0,3,,,6,村 岡 賢,52.0,4,,,5,戸 田 海咲音 51,47.0,5,,,4,原 村 百 那 59,60.0,6,,
2025-12-29,大村,07R,ふく〜る戦　                 H1800m  曇り  風  東　　 2m  波　  2cm,137,,,,,,,,,,,,,,,,,,2,寺 田 祥,56.0,1,,,1,栗 山 繁 洋,62.0,2,,,3,下 河 誉 史,70.0,3,,,6,武 重 雄 介,37.0,4,,,5,村 上 彰 一 67,68.0,5,,,4,出 穂 和 鼓 26,21.0,6,,
