レースコード,レース日,レース場コード,レース回,状態,1枠_枠番pt,1枠_寄与_枠番pt,1枠_選手pt,1枠_寄与_選手pt,1枠_モーターpt,1枠_寄与_モーターpt,1枠_展示pt,1枠_寄与_展示pt,1枠_気象pt,1枠_寄与_気象pt,1枠_強さpt,2枠_枠番pt,2枠_寄与_枠番pt,2枠_選手pt,2枠_寄与_選手pt,2枠_モーターpt,2枠_寄与_モーターpt,2枠_展示pt,2枠_寄与_展示pt,2枠_気象pt,2枠_寄与_気象pt,2枠_強さpt,3枠_枠番pt,3枠_寄与_枠番pt,3枠_選手pt,3枠_寄与_選手pt,3枠_モーターpt,3枠_寄与_モーターpt,3枠_展示pt,3枠_寄与_展示pt,3枠_気象pt,3枠_寄与_気象pt,3枠_強さpt,4枠_枠番pt,4枠_寄与_枠番pt,4枠_選手pt,4枠_寄与_選手pt,4枠_モーターpt,4枠_寄与_モーターpt,4枠_展示pt,4枠_寄与_展示pt,4枠_気象pt,4枠_寄与_気象pt,4枠_強さpt,5枠_枠番pt,5枠_寄与_枠番pt,5枠_選手pt,5枠_寄与_選手pt,5枠_モーターpt,5枠_寄与_モーターpt,5枠_展示pt,5枠_寄与_展示pt,5枠_気象pt,5枠_寄与_気象pt,5枠_強さpt,6枠_枠番pt,6枠_寄与_枠番pt,6枠_選手pt,6枠_寄与_選手pt,6枠_モーターpt,6枠_寄与_モーターpt,6枠_展示pt,6枠_寄与_展示pt,6枠_気象pt,6枠_寄与_気象pt,6枠_強さpt
202605051912,2026-05-05,19,12R,daily,69.4,31.31,50.0,8.63,63.44,15.19,50.0,5.3,50.0,1.54,61.97,52.94,23.89,50.0,8.63,63.93,15.31,50.0,5.3,50.0,1.54,54.66,49.93,22.53,50.0,8.63,61.76,14.79,50.0,5.3,50.0,1.54,52.79,48.47,21.87,50.0,8.63,64.92,15.55,50.0,5.3,50.0,1.54,52.88,43.56,19.65,50.0,8.63,59.99,14.37,50.0,5.3,50.0,1.54,49.48,36.45,16.45,50.0,8.63,61.76,14.79,50.0,5.3,50.0,1.54,46.7
202605052001,2026-05-05,20,1R,realtime,67.88,29.96,50.0,11.0,53.34,7.02,60.06,8.86,27.64,1.64,58.49,51.74,22.83,50.0,11.0,63.34,8.34,43.08,6.35,63.78,3.79,52.32,50.62,22.34,50.0,11.0,54.0,7.11,48.76,7.19,49.63,2.95,50.6,48.58,21.44,50.0,11.0,50.0,6.59,55.32,8.16,68.34,4.06,51.25,43.42,19.16,50.0,11.0,48.01,6.32,37.66,5.55,42.59,2.53,44.58,37.47,16.53,50.0,11.0,45.8,6.03,55.23,8.14,48.06,2.86,44.57
202605052002,2026-05-05,20,2R,realtime,67.88,29.96,50.0,11.0,27.48,3.62,51.39,7.58,27.64,1.64,53.8,51.74,22.83,50.0,11.0,41.19,5.42,52.73,7.78,63.78,3.79,50.83,50.62,22.34,50.0,11.0,55.32,7.29,33.13,4.89,49.63,2.95,48.47,48.58,21.44,50.0,11.0,39.45,5.2,48.55,7.16,68.34,4.06,48.86,43.42,19.16,50.0,11.0,49.99,6.58,57.34,8.45,42.59,2.53,47.74,37.47,16.53,50.0,11.0,50.0,6.59,56.97,8.4,48.06,2.86,45.38
202605052003,2026-05-05,20,3R,realtime,67.88,29.96,50.0,11.0,50.0,6.59,60.75,8.96,33.52,1.99,58.5,51.74,22.83,50.0,11.0,25.8,3.4,41.24,6.08,61.42,3.65,46.97,50.62,22.34,50.0,11.0,70.46,9.28,46.85,6.91,49.7,2.95,52.49,48.58,21.44,50.0,11.0,47.29,6.23,59.83,8.82,64.2,3.82,51.31,43.42,19.16,50.0,11.0,48.01,6.32,52.51,7.74,42.55,2.53,46.76,37.47,16.53,50.0,11.0,51.01,6.72,38.92,5.74,48.67,2.89,42.89
202605052004,2026-05-05,20,4R,daily,67.88,29.96,50.0,11.0,35.32,4.65,50.0,7.37,50.0,2.97,55.96,51.74,22.83,50.0,11.0,58.49,7.7,50.0,7.37,50.0,2.97,51.88,50.62,22.34,50.0,11.0,44.3,5.83,50.0,7.37,50.0,2.97,49.53,48.58,21.44,50.0,11.0,50.0,6.59,50.0,7.37,50.0,2.97,49.37,43.42,19.16,50.0,11.0,36.82,4.85,50.0,7.37,50.0,2.97,45.36,37.47,16.53,50.0,11.0,45.8,6.03,50.0,7.37,50.0,2.97,43.92
202605052005,2026-05-05,20,5R,daily,67.88,29.96,50.0,11.0,50.0,6.59,50.0,7.37,50.0,2.97,57.89,51.74,22.83,50.0,11.0,33.83,4.45,50.0,7.37,50.0,2.97,48.64,50.62,22.34,50.0,11.0,63.34,8.34,50.0,7.37,50.0,2.97,52.03,48.58,21.44,50.0,11.0,53.34,7.02,50.0,7.37,50.0,2.97,49.81,43.42,19.16,50.0,11.0,55.32,7.29,50.0,7.37,50.0,2.97,47.8,37.47,16.53,50.0,11.0,40.53,5.34,50.0,7.37,50.0,2.97,43.22
202605052006,2026-05-05,20,6R,daily,67.88,29.96,50.0,11.0,39.45,5.2,50.0,7.37,50.0,2.97,56.5,51.74,22.83,50.0,11.0,60.64,7.99,50.0,7.37,50.0,2.97,52.17,50.62,22.34,50.0,11.0,32.33,4.26,50.0,7.37,50.0,2.97,47.95,48.58,21.44,50.0,11.0,68.96,9.08,50.0,7.37,50.0,2.97,51.87,43.42,19.16,50.0,11.0,50.0,6.59,50.0,7.37,50.0,2.97,47.1,37.47,16.53,50.0,11.0,45.8,6.03,50.0,7.37,50.0,2.97,43.92
202605052007,2026-05-05,20,7R,daily,67.88,29.96,50.0,11.0,48.01,6.32,50.0,7.37,50.0,2.97,57.63,51.74,22.83,50.0,11.0,61.3,8.07,50.0,7.37,50.0,2.97,52.25,50.62,22.34,50.0,11.0,50.0,6.59,50.0,7.37,50.0,2.97,50.28,48.58,21.44,50.0,11.0,54.0,7.11,50.0,7.37,50.0,2.97,49.9,43.42,19.16,50.0,11.0,49.51,6.52,50.0,7.37,50.0,2.97,47.03,37.47,16.53,50.0,11.0,52.68,6.94,50.0,7.37,50.0,2.97,44.82
202605052008,2026-05-05,20,8R,daily,67.88,29.96,50.0,11.0,50.0,6.59,50.0,7.37,50.0,2.97,57.89,51.74,22.83,50.0,11.0,45.8,6.03,50.0,7.37,50.0,2.97,50.21,50.62,22.34,50.0,11.0,47.29,6.23,50.0,7.37,50.0,2.97,49.92,48.58,21.44,50.0,11.0,27.48,3.62,50.0,7.37,50.0,2.97,46.41,43.42,19.16,50.0,11.0,45.8,6.03,50.0,7.37,50.0,2.97,46.54,37.47,16.53,50.0,11.0,50.0,6.59,50.0,7.37,50.0,2.97,44.47
202605052009,2026-05-05,20,9R,daily,67.88,29.96,50.0,11.0,53.34,7.02,50.0,7.37,50.0,2.97,58.33,51.74,22.83,50.0,11.0,65.97,8.69,50.0,7.37,50.0,2.97,52.87,50.62,22.34,50.0,11.0,25.8,3.4,50.0,7.37,50.0,2.97,47.09,48.58,21.44,50.0,11.0,54.0,7.11,50.0,7.37,50.0,2.97,49.9,43.42,19.16,50.0,11.0,35.32,4.65,50.0,7.37,50.0,2.97,45.16,37.47,16.53,50.0,11.0,45.8,6.03,50.0,7.37,50.0,2.97,43.92
