レースコード,予想1着,予想2着,予想3着,予想決まり手,艇1_予想コース,艇2_予想コース,艇3_予想コース,艇4_予想コース,艇5_予想コース,艇6_予想コース,艇1_予想ST,艇2_予想ST,艇3_予想ST,艇4_予想ST,艇5_予想ST,艇6_予想ST
202603240201,1,3,5,まくり,1,6,4,5,3,2,0.036,0.02,0.068,0.122,0.017,0.139
202603240202,1,6,3,逃げ,1,6,2,5,4,3,0.015,-0.012,0.004,0.168,0.081,-0.023
202603240203,4,2,1,まくり,2,4,5,1,3,6,0.082,0.018,-0.013,-0.038,0.027,0.094
202603240204,3,4,1,逃げ,3,2,1,6,5,4,0.022,0.002,-0.05,0.06,0.063,0.041
202603240205,5,2,1,逃げ,4,2,5,3,1,6,0.021,-0.046,0.008,-0.02,-0.032,0.008
202603240206,5,3,2,まくり,6,5,3,4,1,2,-0.01,0.147,-0.026,0.045,-0.04,0.001
202603240207,1,2,5,逃げ,1,2,4,3,6,5,-0.017,0.028,0.041,0.083,-0.018,0.222
202603240208,6,4,1,逃げ,4,6,5,1,2,3,0.068,0.057,0.216,0.022,0.037,-0.03
202603240209,1,5,2,逃げ,1,4,3,5,2,6,0.069,0.017,0.021,0.044,-0.046,-0.0
202603240210,3,4,1,差し,3,6,1,2,5,4,0.044,-0.044,-0.035,-0.054,0.145,0.014
202603240211,1,2,6,逃げ,4,3,5,6,2,1,-0.012,-0.026,0.183,-0.03,0.005,-0.022
202603240212,3,1,2,逃げ,3,2,1,5,4,6,-0.032,-0.033,-0.036,0.213,0.018,-0.01
