レースコード,レース日,レース場コード,レース回,状態,荒れ度,P_その他_1,P_その他_2,P_その他_3,P_その他_4,P_その他_5,P_その他_6,P_まくり_2,P_まくり_3,P_まくり_4,P_まくり_5,P_まくり_6,P_まくり差し_3,P_まくり差し_4,P_まくり差し_5,P_まくり差し_6,P_差し_2,P_差し_3,P_差し_4,P_差し_5,P_差し_6,P_抜き_1,P_抜き_2,P_抜き_3,P_抜き_4,P_抜き_5,P_抜き_6,P_恵まれ_2,P_恵まれ_3,P_恵まれ_4,P_恵まれ_5,P_逃げ_1,P_逃げ_2
202609261306,2026-09-26,13,06R,daily,0.3952,0.001588,0.001015,0.000294,0.000191,0.000111,0.000529,0.022889,0.021320,0.081487,0.003020,0.014909,0.026974,0.052408,0.008291,0.017455,0.053577,0.007402,0.025548,0.001541,0.003657,0.015395,0.009156,0.005295,0.008763,0.001959,0.004623,0.000713,0.001805,0.001363,0.000879,0.604760,0.001083
202609261307,2026-09-26,13,07R,daily,0.6586,0.003159,0.001327,0.000541,0.000317,0.000246,0.001133,0.049733,0.050356,0.095920,0.011658,0.007825,0.034029,0.064807,0.051484,0.030692,0.099598,0.024663,0.034883,0.006396,0.003295,0.010557,0.020731,0.016379,0.015670,0.006987,0.006514,0.001386,0.001440,0.001381,0.001679,0.341429,0.003783
202609261308,2026-09-26,13,08R,daily,0.4111,0.002749,0.001072,0.000461,0.000270,0.000139,0.000967,0.030765,0.021728,0.063288,0.005066,0.010114,0.026767,0.033162,0.011965,0.022746,0.081058,0.007690,0.019504,0.001879,0.003438,0.016511,0.011175,0.008618,0.008137,0.002535,0.009031,0.001130,0.002486,0.002044,0.001967,0.588930,0.002607
202609261309,2026-09-26,13,09R,daily,0.4910,0.002860,0.000892,0.000326,0.000189,0.000171,0.000557,0.037544,0.041205,0.056242,0.014208,0.001718,0.043700,0.049704,0.048400,0.003672,0.079925,0.011323,0.021097,0.007777,0.000858,0.016532,0.013156,0.012377,0.011913,0.005992,0.001273,0.001139,0.001115,0.002532,0.001038,0.508987,0.001578
202609261310,2026-09-26,13,10R,daily,0.3405,0.001803,0.000762,0.000176,0.000151,0.000099,0.000859,0.003438,0.019009,0.079570,0.004208,0.006397,0.038508,0.061993,0.022865,0.016003,0.013056,0.004228,0.014910,0.003033,0.003033,0.012588,0.001513,0.006809,0.013194,0.002669,0.004309,0.000759,0.001293,0.002064,0.000671,0.659549,0.000478
202609261311,2026-09-26,13,11R,daily,0.2701,0.001442,0.000363,0.000229,0.000131,0.000078,0.000558,0.019167,0.013345,0.027871,0.002393,0.003156,0.018658,0.012400,0.006859,0.005680,0.102715,0.004843,0.006128,0.001034,0.000838,0.016013,0.009357,0.004484,0.002765,0.000914,0.001483,0.001183,0.001074,0.001112,0.000897,0.729880,0.002952
202609261312,2026-09-26,13,12R,daily,0.1930,0.001118,0.000317,0.000198,0.000113,0.000083,0.000429,0.006523,0.013914,0.020632,0.006147,0.003200,0.019727,0.014118,0.017531,0.005059,0.035997,0.004058,0.003966,0.001944,0.001061,0.017800,0.004175,0.004066,0.002731,0.002424,0.001155,0.000984,0.000862,0.000882,0.000590,0.807003,0.001192
202609261501,2026-09-26,15,01R,daily,0.3396,0.002339,0.000887,0.000338,0.000185,0.000131,0.000361,0.019109,0.014834,0.030875,0.015779,0.005393,0.029683,0.018404,0.031772,0.008894,0.066749,0.007397,0.007935,0.005815,0.001548,0.037814,0.007795,0.005000,0.003922,0.006874,0.003207,0.001719,0.001274,0.001719,0.001301,0.660362,0.000584
202609261502,2026-09-26,15,02R,daily,0.5798,0.003940,0.000943,0.000696,0.000311,0.000261,0.000583,0.024710,0.022776,0.038923,0.062351,0.025060,0.032124,0.021105,0.124874,0.034495,0.052653,0.011243,0.013265,0.028981,0.004977,0.016835,0.013155,0.004883,0.009496,0.016660,0.007606,0.001460,0.001591,0.000907,0.001483,0.420227,0.001426
202609261503,2026-09-26,15,03R,daily,0.6018,0.003025,0.001211,0.000595,0.000318,0.000230,0.000431,0.025537,0.040802,0.076457,0.035883,0.003185,0.048482,0.061888,0.083684,0.005836,0.050662,0.019016,0.044315,0.010160,0.001726,0.022535,0.010069,0.010267,0.021968,0.011550,0.002989,0.001924,0.001092,0.001771,0.001999,0.398228,0.002164
202609261504,2026-09-26,15,04R,daily,0.7019,0.004033,0.001401,0.000913,0.000208,0.000188,0.000610,0.052804,0.104625,0.009044,0.011294,0.013411,0.173346,0.007142,0.009869,0.025927,0.111005,0.074531,0.014598,0.004959,0.002424,0.012932,0.015208,0.025761,0.002151,0.003362,0.008558,0.001545,0.001976,0.001333,0.003290,0.298103,0.003448
