レースコード,レース日,レース場コード,レース回,1枠_登録番号,1枠_推定ST,2枠_登録番号,2枠_推定ST,3枠_登録番号,3枠_推定ST,4枠_登録番号,4枠_推定ST,5枠_登録番号,5枠_推定ST,6枠_登録番号,6枠_推定ST
202607250611,2026-07-25,06,11R,3641,0.1567,4901,0.1552,3811,0.1413,3878,0.1625,4560,0.1546,4000,0.1779
202607250612,2026-07-25,06,12R,4734,0.1323,4347,0.1643,4888,0.1593,3965,0.1532,3284,0.1996,5104,0.1695
202607250801,2026-07-25,08,01R,4369,0.15,4918,0.1697,3804,0.141,5388,0.1664,5077,0.1843,5419,0.2449
202607250802,2026-07-25,08,02R,3982,0.1475,4193,0.1434,4346,0.1553,4064,0.1604,4358,0.2128,5360,0.2026
202607250803,2026-07-25,08,03R,3721,0.1094,4317,0.1743,3319,0.1458,3848,0.1426,4040,0.1479,5357,0.1804
202607250804,2026-07-25,08,04R,3590,0.1365,5210,0.1353,4940,0.1738,4234,0.1563,4782,0.2013,4448,0.1617
202607250805,2026-07-25,08,05R,4796,0.139,4839,0.1366,3790,0.1754,4323,0.15,5327,0.2151,4011,0.1586
202607250806,2026-07-25,08,06R,4644,0.1313,4114,0.1861,3793,0.1483,5419,0.2285,4381,0.1665,3713,0.187
202607250807,2026-07-25,08,07R,4607,0.1588,3696,0.1689,4360,0.1605,4358,0.2099,4346,0.1612,4787,0.1439
202607250808,2026-07-25,08,08R,4253,0.1746,4040,0.148,3982,0.149,4782,0.1984,3848,0.1455,4064,0.1768
202607250809,2026-07-25,08,09R,5327,0.2077,4730,0.1526,5360,0.1832,4065,0.1738,5357,0.1669,4940,0.1932
202607250810,2026-07-25,08,10R,4011,0.1377,3590,0.144,4323,0.147,3721,0.1139,4114,0.186,4193,0.1568
202607250811,2026-07-25,08,11R,4448,0.1408,4607,0.1663,4369,0.1515,3319,0.1488,4839,0.1365,5210,0.1487
202607250812,2026-07-25,08,12R,4787,0.123,4796,0.1465,4644,0.1328,4253,0.1791,4317,0.1742,3696,0.1823
202607251201,2026-07-25,12,01R,3950,0.136,5098,0.1264,4181,0.1907,4872,0.1907,3656,0.1825,5460,0.1934
202607251202,2026-07-25,12,02R,4015,0.1374,4465,0.2031,4039,0.1367,3967,0.2095,5343,0.1451,4033,0.155
202607251203,2026-07-25,12,03R,5376,0.1481,5190,0.1678,3769,0.1553,5400,0.1508,5179,0.1855,4581,0.167
202607251204,2026-07-25,12,04R,4463,0.1409,3652,0.1828,4124,0.1481,4831,0.1431,3467,0.1833,3948,0.1981
202607251205,2026-07-25,12,05R,4108,0.1266,5236,0.1587,3656,0.1766,4815,0.1983,5169,0.1893,4413,0.1744
202607251206,2026-07-25,12,06R,3505,0.1408,3863,0.1587,5115,0.1437,4184,0.1407,5109,0.1347,4039,0.1561
202607251207,2026-07-25,12,07R,4574,0.1713,5400,0.1538,3950,0.1375,5343,0.1422,5044,0.131,4156,0.1658
202607251208,2026-07-25,12,08R,4288,0.1073,4902,0.1915,3467,0.1774,5376,0.1526,5460,0.1799,4539,0.1435
202607251209,2026-07-25,12,09R,3961,0.1679,5245,0.1641,3652,0.1768,5098,0.1234,4465,0.203,4834,0.1461
202607251210,2026-07-25,12,10R,4877,0.1284,4181,0.1967,4463,0.1424,3544,0.1777,5236,0.1586,3769,0.1747
202607251211,2026-07-25,12,11R,3822,0.1389,5109,0.1348,4108,0.1281,4015,0.1419,5190,0.1677,4124,0.1675
202607251212,2026-07-25,12,12R,4184,0.1362,4413,0.161,4581,0.1476,4033,0.1386,4574,0.1787,4831,0.1595
202607251301,2026-07-25,13,01R,3620,0.1631,4263,0.1818,4732,0.1042,5127,0.1936,3572,0.1802,5014,0.1763
202607251302,2026-07-25,13,02R,4339,0.1664,4822,0.1603,3568,0.155,3605,0.1902,4296,0.1565,4917,0.1624
202607251303,2026-07-25,13,03R,4865,0.1765,4089,0.1648,3892,0.1507,3434,0.1833,5137,0.16,4828,0.1741
202607251304,2026-07-25,13,04R,4367,0.1917,4356,0.1555,3473,0.1252,3699,0.1956,4572,0.1493,5423,0.2174
202607251305,2026-07-25,13,05R,5051,0.1445,4636,0.1881,5026,0.1409,3635,0.1552,4363,0.1509,5467,0.1985
202607251306,2026-07-25,13,06R,3931,0.129,5091,0.1531,5127,0.1906,4847,0.1375,3568,0.1609,5302,0.1695
202607251307,2026-07-25,13,07R,4529,0.1195,3814,0.1787,4865,0.178,3620,0.1676,4012,0.1411,5186,0.1839
202607251308,2026-07-25,13,08R,4384,0.1632,4710,0.1376,4396,0.1606,3912,0.1352,4263,0.1817,4339,0.1873
