レースコード,レース日,レース場,レース回,締切時刻,取得日時,気象観測時刻,風速(m),風向,波の高さ(cm),天候,気温(℃),水温(℃)
202607250605,2026-07-25,06,05R,13:38,2026-07-25T13:28:25.328498+09:00,1313,3.0,8,2.0,1,38.0,28.0
202607251706,2026-07-25,17,06R,13:42,2026-07-25T13:32:24.844600+09:00,1316,2.0,5,2.0,1,32.0,29.0
202607250207,2026-07-25,02,07R,13:45,2026-07-25T13:36:23.986404+09:00,1317,2.0,1,1.0,1,35.0,32.0
202607250405,2026-07-25,04,05R,13:54,2026-07-25T13:44:22.278101+09:00,1326,3.0,5,3.0,2,34.0,28.0
202607251308,2026-07-25,13,08R,13:53,2026-07-25T13:44:22.278101+09:00,1323,5.0,7,3.0,1,35.4,31.7
202607250307,2026-07-25,03,07R,13:56,2026-07-25T13:46:30.706805+09:00,1305,4.0,6,5.0,1,32.0,28.0
202607250808,2026-07-25,08,08R,13:59,2026-07-25T13:50:23.094158+09:00,1332,3.0,7,1.0,1,35.0,32.0
202607252112,2026-07-25,21,12R,14:00,2026-07-25T13:50:23.094158+09:00,1321,4.0,8,4.0,1,32.5,33.9
202607250606,2026-07-25,06,06R,14:04,2026-07-25T13:54:25.953755+09:00,1342,2.0,3,1.0,1,37.0,28.0
202607252312,2026-07-25,23,12R,14:06,2026-07-25T13:56:27.204460+09:00,1337,5.0,1,5.0,1,32.0,31.0
202607251707,2026-07-25,17,07R,14:11,2026-07-25T14:02:30.626448+09:00,1345,3.0,6,3.0,1,32.0,30.0
202607251412,2026-07-25,14,12R,14:13,2026-07-25T14:04:22.667604+09:00,1339,3.0,8,3.0,1,31.0,28.0
202607250208,2026-07-25,02,08R,14:16,2026-07-25T14:06:27.406532+09:00,1348,1.0,1,1.0,1,36.0,32.0
202607250308,2026-07-25,03,08R,14:24,2026-07-25T14:14:24.598892+09:00,1359,4.0,6,5.0,1,33.0,28.0
202607250406,2026-07-25,04,06R,14:25,2026-07-25T14:16:18.880262+09:00,1357,4.0,5,3.0,2,35.0,28.0
202607250809,2026-07-25,08,09R,14:30,2026-07-25T14:20:24.190071+09:00,1403,3.0,7,1.0,1,35.0,32.0
202607250607,2026-07-25,06,07R,14:31,2026-07-25T14:22:25.685116+09:00,1408,2.0,7,1.0,1,37.0,28.0
202607251708,2026-07-25,17,08R,14:38,2026-07-25T14:28:49.931169+09:00,1414,3.0,6,3.0,1,33.0,30.0
202607251309,2026-07-25,13,09R,14:45,2026-07-25T14:36:24.063424+09:00,1431,3.0,6,0.0,1,34.8,31.8
202607250209,2026-07-25,02,09R,14:48,2026-07-25T14:38:19.592193+09:00,1419,2.0,1,1.0,1,36.0,32.0
202607250309,2026-07-25,03,09R,14:52,2026-07-25T14:42:22.488223+09:00,1359,4.0,6,5.0,1,33.0,28.0
202607250407,2026-07-25,04,07R,14:57,2026-07-25T14:48:25.494442+09:00,1428,4.0,5,3.0,1,35.0,28.0
202607250608,2026-07-25,06,08R,15:02,2026-07-25T14:52:27.388473+09:00,1435,2.0,7,1.0,1,37.0,28.0
202607251709,2026-07-25,17,09R,15:06,2026-07-25T14:56:25.189966+09:00,1441,3.0,5,3.0,1,32.0,30.0
202607250810,2026-07-25,08,10R,15:09,2026-07-25T15:01:17.599042+09:00,1434,5.0,7,3.0,1,35.0,32.0
202607251310,2026-07-25,13,10R,15:16,2026-07-25T15:06:19.583747+09:00,1448,5.0,6,3.0,1,35.0,31.8
202607251201,2026-07-25,12,01R,15:18,2026-07-25T15:08:20.637275+09:00,1400,0.0,,1.0,1,35.0,33.0
202607250210,2026-07-25,02,10R,15:21,2026-07-25T15:12:26.191115+09:00,1451,1.0,1,1.0,1,36.0,32.0
202607250310,2026-07-25,03,10R,15:22,2026-07-25T15:12:26.191115+09:00,1455,6.0,2,5.0,1,32.0,28.0
202607252001,2026-07-25,20,01R,15:24,2026-07-25T15:14:25.794031+09:00,1400,2.0,8,2.0,1,32.0,33.0
202607250101,2026-07-25,01,01R,15:28,2026-07-25T15:18:19.376463+09:00,1454,4.0,8,4.0,1,34.0,25.0
202607251501,2026-07-25,15,01R,15:27,2026-07-25T15:18:19.376463+09:00,1434,4.0,8,4.0,1,34.0,28.0
202607250408,2026-07-25,04,08R,15:30,2026-07-25T15:20:23.379075+09:00,1500,3.0,5,3.0,2,34.0,28.0
202607250609,2026-07-25,06,09R,15:35,2026-07-25T15:26:23.455662+09:00,1506,3.0,7,2.0,1,37.0,28.0
202607251710,2026-07-25,17,10R,15:40,2026-07-25T15:30:30.288480+09:00,1509,3.0,5,3.0,1,32.0,30.0
202607250811,2026-07-25,08,11R,15:43,2026-07-25T15:34:22.993648+09:00,1513,6.0,7,4.0,1,35.0,33.0
202607251202,2026-07-25,12,02R,15:48,2026-07-25T15:38:20.619738+09:00,1521,2.0,4,1.0,1,34.0,34.0
202607251311,2026-07-25,13,11R,15:47,2026-07-25T15:38:20.619738+09:00,1519,5.0,6,3.0,1,34.7,31.9
202607250311,2026-07-25,03,11R,15:53,2026-07-25T15:44:21.909595+09:00,1455,6.0,2,5.0,1,32.0,28.0
202607250211,2026-07-25,02,11R,15:55,2026-07-25T15:46:23.295119+09:00,1524,7.0,3,5.0,1,34.0,32.0
202607250102,2026-07-25,01,02R,15:57,2026-07-25T15:48:20.068370+09:00,1532,5.0,7,4.0,1,33.0,25.0
202607251502,2026-07-25,15,02R,15:58,2026-07-25T15:48:20.068370+09:00,1530,2.0,7,2.0,1,35.0,28.0
202607250409,2026-07-25,04,09R,16:04,2026-07-25T15:54:26.884548+09:00,1533,2.0,2,3.0,2,34.0,28.0
202607252002,2026-07-25,20,02R,16:03,2026-07-25T15:54:26.884548+09:00,1527,2.0,1,2.0,1,31.0,33.0
202607250610,2026-07-25,06,10R,16:08,2026-07-25T15:58:20.306645+09:00,1539,3.0,6,2.0,1,37.0,28.0
202607251711,2026-07-25,17,11R,16:13,2026-07-25T16:04:24.495777+09:00,1543,3.0,5,3.0,1,32.0,30.0
202607250812,2026-07-25,08,12R,16:17,2026-07-25T16:08:20.988149+09:00,1547,6.0,7,4.0,1,35.0,33.0
202607251312,2026-07-25,13,12R,16:24,2026-07-25T16:14:27.484964+09:00,1550,4.0,7,0.0,1,35.5,31.9
202607250312,2026-07-25,03,12R,16:25,2026-07-25T16:16:25.503650+09:00,1556,7.0,2,5.0,1,32.0,28.0
