レースコード,レース日,レース場コード,レース回,状態,1枠_枠番pt,1枠_寄与_枠番pt,1枠_選手pt,1枠_寄与_選手pt,1枠_モーターpt,1枠_寄与_モーターpt,1枠_展示pt,1枠_寄与_展示pt,1枠_気象pt,1枠_寄与_気象pt,1枠_展開優位pt,1枠_寄与_展開優位pt,1枠_強さpt,2枠_枠番pt,2枠_寄与_枠番pt,2枠_選手pt,2枠_寄与_選手pt,2枠_モーターpt,2枠_寄与_モーターpt,2枠_展示pt,2枠_寄与_展示pt,2枠_気象pt,2枠_寄与_気象pt,2枠_展開優位pt,2枠_寄与_展開優位pt,2枠_強さpt,3枠_枠番pt,3枠_寄与_枠番pt,3枠_選手pt,3枠_寄与_選手pt,3枠_モーターpt,3枠_寄与_モーターpt,3枠_展示pt,3枠_寄与_展示pt,3枠_気象pt,3枠_寄与_気象pt,3枠_展開優位pt,3枠_寄与_展開優位pt,3枠_強さpt,4枠_枠番pt,4枠_寄与_枠番pt,4枠_選手pt,4枠_寄与_選手pt,4枠_モーターpt,4枠_寄与_モーターpt,4枠_展示pt,4枠_寄与_展示pt,4枠_気象pt,4枠_寄与_気象pt,4枠_展開優位pt,4枠_寄与_展開優位pt,4枠_強さpt,5枠_枠番pt,5枠_寄与_枠番pt,5枠_選手pt,5枠_寄与_選手pt,5枠_モーターpt,5枠_寄与_モーターpt,5枠_展示pt,5枠_寄与_展示pt,5枠_気象pt,5枠_寄与_気象pt,5枠_展開優位pt,5枠_寄与_展開優位pt,5枠_強さpt,6枠_枠番pt,6枠_寄与_枠番pt,6枠_選手pt,6枠_寄与_選手pt,6枠_モーターpt,6枠_寄与_モーターpt,6枠_展示pt,6枠_寄与_展示pt,6枠_気象pt,6枠_寄与_気象pt,6枠_展開優位pt,6枠_寄与_展開優位pt,6枠_強さpt
202607071001,2026-07-07,10,1R,realtime,67.54,25.45,61.82,17.15,70.58,5.44,59.6,10.07,44.62,3.33,49.92,1.25,62.69,52.66,19.85,42.13,11.69,47.66,3.67,36.86,6.23,52.76,3.93,49.92,1.25,46.62,50.78,19.14,44.94,12.47,59.99,4.62,61.14,10.33,49.89,3.72,49.92,1.25,51.53,47.83,18.02,42.13,11.69,44.8,3.45,38.28,6.47,47.52,3.54,49.92,1.25,44.43,43.93,16.56,44.94,12.47,48.0,3.7,44.15,7.46,51.29,3.82,49.92,1.25,45.26,36.87,13.89,44.94,12.47,50.0,3.85,60.03,10.14,54.05,4.03,49.92,1.25,45.64
202607071002,2026-07-07,10,2R,daily,67.54,25.45,50.57,14.03,49.96,3.85,50.0,8.45,50.0,3.73,50.0,1.25,56.76,52.66,19.85,56.19,15.59,50.0,3.85,50.0,8.45,50.0,3.73,50.0,1.25,52.72,50.78,19.14,50.57,14.03,51.83,3.99,50.0,8.45,50.0,3.73,50.0,1.25,50.59,47.83,18.02,47.75,13.25,42.25,3.25,50.0,8.45,50.0,3.73,50.0,1.25,47.96,43.93,16.56,47.75,13.25,50.0,3.85,50.0,8.45,50.0,3.73,50.0,1.25,47.09,36.87,13.89,47.75,13.25,33.15,2.55,50.0,8.45,50.0,3.73,50.0,1.25,43.13
202607071002,2026-07-07,10,2R,realtime,67.54,25.45,50.57,14.03,49.96,3.85,48.29,8.16,43.54,3.25,49.92,1.25,55.99,52.66,19.85,56.19,15.59,50.0,3.85,51.85,8.76,52.87,3.94,49.92,1.25,53.25,47.83,18.02,50.57,14.03,51.83,3.99,52.68,8.9,48.73,3.63,37.9,0.95,49.53,50.78,19.14,47.75,13.25,42.25,3.25,46.45,7.85,48.28,3.6,61.93,1.55,48.64,43.93,16.56,47.75,13.25,50.0,3.85,36.13,6.11,52.26,3.9,49.92,1.25,44.91,36.87,13.89,47.75,13.25,33.15,2.55,64.64,10.92,54.44,4.06,49.92,1.25,45.93
202607071003,2026-07-07,10,3R,daily,67.54,25.45,50.57,14.03,50.0,3.85,50.0,8.45,50.0,3.73,50.0,1.25,56.77,52.66,19.85,44.94,12.47,48.42,3.73,50.0,8.45,50.0,3.73,50.0,1.25,49.48,50.78,19.14,50.57,14.03,55.23,4.25,50.0,8.45,50.0,3.73,50.0,1.25,50.85,47.83,18.02,44.94,12.47,48.44,3.73,50.0,8.45,50.0,3.73,50.0,1.25,47.66,43.93,16.56,47.75,13.25,59.25,4.56,50.0,8.45,50.0,3.73,50.0,1.25,47.8,36.87,13.89,47.75,13.25,50.0,3.85,50.0,8.45,50.0,3.73,50.0,1.25,44.43
202607071003,2026-07-07,10,3R,realtime,67.54,25.45,50.57,14.03,50.0,3.85,49.72,8.4,36.46,2.72,49.92,1.25,55.71,52.66,19.85,44.94,12.47,48.42,3.73,51.57,8.71,50.89,3.79,49.92,1.25,49.81,50.78,19.14,50.57,14.03,55.23,4.25,66.76,11.28,64.95,4.84,49.92,1.25,54.8,47.83,18.02,44.94,12.47,48.44,3.73,55.21,9.33,55.57,4.14,49.92,1.25,48.95,43.93,16.56,47.75,13.25,59.25,4.56,42.29,7.15,46.76,3.49,49.92,1.25,46.26,36.87,13.89,47.75,13.25,50.0,3.85,34.5,5.83,45.5,3.39,49.92,1.25,41.47
202607071004,2026-07-07,10,4R,daily,67.54,25.45,53.38,14.81,65.07,5.01,50.0,8.45,50.0,3.73,50.0,1.25,58.71,52.66,19.85,42.13,11.69,50.0,3.85,50.0,8.45,50.0,3.73,50.0,1.25,48.82,50.78,19.14,47.75,13.25,48.75,3.76,50.0,8.45,50.0,3.73,50.0,1.25,49.57,47.83,18.02,44.94,12.47,55.19,4.25,50.0,8.45,50.0,3.73,50.0,1.25,48.18,43.93,16.56,75.88,21.06,50.0,3.85,50.0,8.45,50.0,3.73,50.0,1.25,54.9,36.87,13.89,42.13,11.69,50.0,3.85,50.0,8.45,50.0,3.73,50.0,1.25,42.87
202607071004,2026-07-07,10,4R,realtime,67.54,25.45,53.38,14.81,65.07,5.01,65.59,11.08,37.55,2.8,49.92,1.25,60.41,52.66,19.85,42.13,11.69,50.0,3.85,58.25,9.85,49.69,3.7,49.92,1.25,50.19,50.78,19.14,47.75,13.25,48.75,3.76,40.09,6.78,62.6,4.67,49.92,1.25,48.84,47.83,18.02,44.94,12.47,55.19,4.25,47.81,8.08,58.63,4.37,49.92,1.25,48.45,43.93,16.56,75.88,21.06,50.0,3.85,58.65,9.91,47.59,3.55,49.92,1.25,56.18,36.87,13.89,42.13,11.69,50.0,3.85,29.66,5.01,44.08,3.29,49.92,1.25,38.98
202607071005,2026-07-07,10,5R,daily,67.54,25.45,53.38,14.81,43.05,3.32,50.0,8.45,50.0,3.73,50.0,1.25,57.01,52.66,19.85,56.19,15.59,28.76,2.22,50.0,8.45,50.0,3.73,50.0,1.25,51.08,50.78,19.14,42.13,11.69,39.48,3.04,50.0,8.45,50.0,3.73,50.0,1.25,47.3,47.83,18.02,44.94,12.47,29.3,2.26,50.0,8.45,50.0,3.73,50.0,1.25,46.18,43.93,16.56,44.94,12.47,50.0,3.85,50.0,8.45,50.0,3.73,50.0,1.25,46.31,36.87,13.89,44.94,12.47,46.1,3.55,50.0,8.45,50.0,3.73,50.0,1.25,43.35
202607071005,2026-07-07,10,5R,realtime,67.54,25.45,53.38,14.81,43.05,3.32,53.08,8.97,34.9,2.6,49.92,1.25,56.41,52.66,19.85,56.19,15.59,28.76,2.22,47.19,7.98,57.04,4.25,49.92,1.25,51.13,50.78,19.14,42.13,11.69,39.48,3.04,48.08,8.13,47.28,3.52,49.92,1.25,46.77,47.83,18.02,44.94,12.47,29.3,2.26,48.31,8.16,45.58,3.4,49.92,1.25,45.56,43.93,16.56,44.94,12.47,50.0,3.85,54.27,9.17,54.65,4.07,49.92,1.25,47.37,36.87,13.89,44.94,12.47,46.1,3.55,49.11,8.3,60.68,4.52,49.92,1.25,43.99
202607071006,2026-07-07,10,6R,daily,67.54,25.45,47.75,13.25,58.76,4.53,50.0,8.45,50.0,3.73,50.0,1.25,56.66,52.66,19.85,47.75,13.25,50.0,3.85,50.0,8.45,50.0,3.73,50.0,1.25,50.38,50.78,19.14,42.13,11.69,45.72,3.52,50.0,8.45,50.0,3.73,50.0,1.25,47.78,47.83,18.02,42.13,11.69,47.66,3.67,50.0,8.45,50.0,3.73,50.0,1.25,46.82,43.93,16.56,59.0,16.37,50.0,3.85,50.0,8.45,50.0,3.73,50.0,1.25,50.21,36.87,13.89,50.57,14.03,50.0,3.85,50.0,8.45,50.0,3.73,50.0,1.25,45.21
202607071006,2026-07-07,10,6R,realtime,67.54,25.45,47.75,13.25,58.76,4.53,61.61,10.41,36.47,2.72,49.92,1.25,57.61,52.66,19.85,47.75,13.25,50.0,3.85,37.03,6.26,49.8,3.71,49.92,1.25,48.17,50.78,19.14,42.13,11.69,45.72,3.52,47.29,7.99,60.99,4.55,49.92,1.25,48.14,47.83,18.02,42.13,11.69,47.66,3.67,33.27,5.62,59.83,4.46,49.92,1.25,44.72,43.93,16.56,59.0,16.37,50.0,3.85,66.5,11.24,48.56,3.62,49.92,1.25,52.89,36.87,13.89,50.57,14.03,50.0,3.85,54.34,9.18,44.48,3.32,49.92,1.25,45.53
