レースコード,レース日,レース場コード,レース回,1枠_登録番号,1枠_推定ST,1枠_推定ST_p25,1枠_推定ST_p75,2枠_登録番号,2枠_推定ST,2枠_推定ST_p25,2枠_推定ST_p75,3枠_登録番号,3枠_推定ST,3枠_推定ST_p25,3枠_推定ST_p75,4枠_登録番号,4枠_推定ST,4枠_推定ST_p25,4枠_推定ST_p75,5枠_登録番号,5枠_推定ST,5枠_推定ST_p25,5枠_推定ST_p75,6枠_登録番号,6枠_推定ST,6枠_推定ST_p25,6枠_推定ST_p75
202609160710,2026-09-16,07,10R,5269,0.1152,0.0771,0.1532,5178,0.1709,0.1262,0.2156,5196,0.229,0.1842,0.2737,5256,0.1675,0.1335,0.2016,5243,0.1529,0.1168,0.189,5280,0.1508,0.1099,0.1916
202609160711,2026-09-16,07,11R,5275,0.1295,0.089,0.1701,5221,0.1398,0.1048,0.1748,5197,0.1506,0.1057,0.1955,5166,0.1507,0.1122,0.1893,5214,0.1711,0.1251,0.217,5234,0.1518,0.1138,0.1897
202609160712,2026-09-16,07,12R,5068,0.1302,0.085,0.1753,5301,0.144,0.1077,0.1804,5255,0.1877,0.1444,0.231,5303,0.1477,0.1056,0.1899,5222,0.1755,0.1356,0.2155,5252,0.1377,0.101,0.1744
202609160801,2026-09-16,08,01R,5129,0.1305,0.0908,0.1703,5324,0.199,0.1576,0.2403,4045,0.1539,0.1139,0.194,4479,0.1771,0.1363,0.2178,5251,0.1693,0.1162,0.2224,4765,0.1921,0.1554,0.2289
202609160802,2026-09-16,08,02R,4764,0.158,0.1124,0.2035,5254,0.232,0.1827,0.2814,5194,0.1704,0.1257,0.215,4938,0.1378,0.0998,0.1758,5439,0.2101,0.1544,0.2658,5078,0.2041,0.1603,0.2479
202609160803,2026-09-16,08,03R,4534,0.1853,0.1424,0.2282,4909,0.1691,0.133,0.2051,4726,0.1489,0.0978,0.2,4556,0.1484,0.1088,0.1881,5182,0.1466,0.1009,0.1923,5346,0.2044,0.1515,0.2573
202609160804,2026-09-16,08,04R,4941,0.1941,0.1557,0.2325,5297,0.1906,0.1479,0.2334,5203,0.137,0.1038,0.1702,5436,0.2016,0.1447,0.2586,5188,0.1468,0.1026,0.1911,4208,0.158,0.1224,0.1937
202609160805,2026-09-16,08,05R,4190,0.1643,0.1211,0.2076,5272,0.1778,0.1364,0.2192,3232,0.149,0.1146,0.1834,5155,0.1345,0.0918,0.1773,4825,0.1249,0.0885,0.1612,5347,0.2123,0.1592,0.2654
202609160806,2026-09-16,08,06R,5146,0.1488,0.1121,0.1855,5194,0.1764,0.1317,0.221,5251,0.1634,0.1103,0.2165,5438,0.1682,0.1272,0.2092,4433,0.1678,0.1244,0.2111,5357,0.1917,0.1344,0.249
202609160807,2026-09-16,08,07R,5079,0.1662,0.1195,0.213,5129,0.138,0.0983,0.1778,4479,0.1741,0.1333,0.2148,5052,0.156,0.1056,0.2064,5254,0.2319,0.1826,0.2813,4964,0.1493,0.1102,0.1883
