レースコード,レース日,レース場コード,レース回,状態,1枠_枠番pt,1枠_寄与_枠番pt,1枠_選手pt,1枠_寄与_選手pt,1枠_モーターpt,1枠_寄与_モーターpt,1枠_展示pt,1枠_寄与_展示pt,1枠_気象pt,1枠_寄与_気象pt,1枠_強さpt,2枠_枠番pt,2枠_寄与_枠番pt,2枠_選手pt,2枠_寄与_選手pt,2枠_モーターpt,2枠_寄与_モーターpt,2枠_展示pt,2枠_寄与_展示pt,2枠_気象pt,2枠_寄与_気象pt,2枠_強さpt,3枠_枠番pt,3枠_寄与_枠番pt,3枠_選手pt,3枠_寄与_選手pt,3枠_モーターpt,3枠_寄与_モーターpt,3枠_展示pt,3枠_寄与_展示pt,3枠_気象pt,3枠_寄与_気象pt,3枠_強さpt,4枠_枠番pt,4枠_寄与_枠番pt,4枠_選手pt,4枠_寄与_選手pt,4枠_モーターpt,4枠_寄与_モーターpt,4枠_展示pt,4枠_寄与_展示pt,4枠_気象pt,4枠_寄与_気象pt,4枠_強さpt,5枠_枠番pt,5枠_寄与_枠番pt,5枠_選手pt,5枠_寄与_選手pt,5枠_モーターpt,5枠_寄与_モーターpt,5枠_展示pt,5枠_寄与_展示pt,5枠_気象pt,5枠_寄与_気象pt,5枠_強さpt,6枠_枠番pt,6枠_寄与_枠番pt,6枠_選手pt,6枠_寄与_選手pt,6枠_モーターpt,6枠_寄与_モーターpt,6枠_展示pt,6枠_寄与_展示pt,6枠_気象pt,6枠_寄与_気象pt,6枠_強さpt
202608091410,2026-08-09,14,10R,daily,66.44,24.63,57.46,10.99,61.49,6.69,50.0,11.4,50.0,5.05,58.77,52.08,19.31,53.93,10.32,53.26,5.8,50.0,11.4,50.0,5.05,51.88,52.19,19.35,55.7,10.65,51.18,5.57,50.0,11.4,50.0,5.05,52.03,49.59,18.39,52.17,9.98,61.85,6.73,50.0,11.4,50.0,5.05,51.55,45.11,16.73,50.41,9.64,52.06,5.66,50.0,11.4,50.0,5.05,48.49,34.45,12.77,48.65,9.31,56.71,6.17,50.0,11.4,50.0,5.05,44.71
202608091411,2026-08-09,14,11R,daily,66.44,24.63,53.93,10.32,60.26,6.56,50.0,11.4,50.0,5.05,57.96,52.08,19.31,50.41,9.64,66.24,7.21,50.0,11.4,50.0,5.05,52.62,52.19,19.35,57.46,10.99,65.94,7.17,50.0,11.4,50.0,5.05,53.97,49.59,18.39,59.22,11.33,54.81,5.96,50.0,11.4,50.0,5.05,52.14,45.11,16.73,46.89,8.97,61.02,6.64,50.0,11.4,50.0,5.05,48.79,34.45,12.77,46.89,8.97,60.09,6.54,50.0,11.4,50.0,5.05,44.74
202608091412,2026-08-09,14,12R,daily,66.44,24.63,60.98,11.66,58.97,6.42,50.0,11.4,50.0,5.05,59.17,52.08,19.31,50.41,9.64,36.62,3.98,50.0,11.4,50.0,5.05,49.39,52.19,19.35,59.22,11.33,46.92,5.11,50.0,11.4,50.0,5.05,52.24,49.59,18.39,43.37,8.3,57.81,6.29,50.0,11.4,50.0,5.05,49.43,45.11,16.73,53.93,10.32,53.06,5.77,50.0,11.4,50.0,5.05,49.27,34.45,12.77,48.65,9.31,56.15,6.11,50.0,11.4,50.0,5.05,44.64
202608091501,2026-08-09,15,1R,daily,68.17,26.54,41.79,10.19,46.24,4.07,50.0,10.09,50.0,3.85,54.74,53.06,20.66,46.79,11.41,47.21,4.16,50.0,10.09,50.0,3.85,50.16,50.92,19.83,44.29,10.8,48.62,4.28,50.0,10.09,50.0,3.85,48.84,47.34,18.43,41.79,10.19,64.61,5.69,50.0,10.09,50.0,3.85,48.25,43.59,16.97,49.29,12.01,52.7,4.64,50.0,10.09,50.0,3.85,47.57,36.48,14.2,49.29,12.01,36.57,3.22,50.0,10.09,50.0,3.85,43.38
202608091502,2026-08-09,15,2R,daily,68.17,26.54,41.79,10.19,36.38,3.21,50.0,10.09,50.0,3.85,53.87,53.06,20.66,41.79,10.19,42.3,3.73,50.0,10.09,50.0,3.85,48.51,50.92,19.83,41.79,10.19,44.61,3.93,50.0,10.09,50.0,3.85,47.88,47.34,18.43,51.79,12.62,35.86,3.16,50.0,10.09,50.0,3.85,48.15,43.59,16.97,51.79,12.62,41.01,3.61,50.0,10.09,50.0,3.85,47.15,36.48,14.2,41.79,10.19,52.26,4.6,50.0,10.09,50.0,3.85,42.93
202608091503,2026-08-09,15,3R,daily,68.17,26.54,54.29,13.23,58.16,5.12,50.0,10.09,50.0,3.85,58.84,53.06,20.66,31.78,7.75,32.78,2.89,50.0,10.09,50.0,3.85,45.23,50.92,19.83,51.79,12.62,48.47,4.27,50.0,10.09,50.0,3.85,50.66,47.34,18.43,39.29,9.58,47.04,4.14,50.0,10.09,50.0,3.85,46.09,43.59,16.97,34.29,8.36,34.25,3.02,50.0,10.09,50.0,3.85,42.29,36.48,14.2,46.79,11.41,54.93,4.84,50.0,10.09,50.0,3.85,44.39
202608091504,2026-08-09,15,4R,daily,68.17,26.54,54.29,13.23,63.38,5.58,50.0,10.09,50.0,3.85,59.3,53.06,20.66,49.29,12.01,71.36,6.29,50.0,10.09,50.0,3.85,52.9,50.92,19.83,41.79,10.19,34.89,3.07,50.0,10.09,50.0,3.85,47.03,47.34,18.43,61.79,15.06,53.54,4.72,50.0,10.09,50.0,3.85,52.15,43.59,16.97,49.29,12.01,55.36,4.88,50.0,10.09,50.0,3.85,47.8,36.48,14.2,44.29,10.8,39.88,3.51,50.0,10.09,50.0,3.85,42.45
202608091505,2026-08-09,15,5R,daily,68.17,26.54,46.79,11.41,42.89,3.78,50.0,10.09,50.0,3.85,55.66,53.06,20.66,51.79,12.62,49.17,4.33,50.0,10.09,50.0,3.85,51.55,50.92,19.83,46.79,11.41,50.76,4.47,50.0,10.09,50.0,3.85,49.64,47.34,18.43,54.29,13.23,45.65,4.02,50.0,10.09,50.0,3.85,49.63,43.59,16.97,46.79,11.41,56.09,4.94,50.0,10.09,50.0,3.85,47.26,36.48,14.2,61.79,15.06,62.25,5.48,50.0,10.09,50.0,3.85,48.69
202608091506,2026-08-09,15,6R,daily,68.17,26.54,49.29,12.01,45.1,3.97,50.0,10.09,50.0,3.85,56.47,53.06,20.66,49.29,12.01,36.57,3.22,50.0,10.09,50.0,3.85,49.83,50.92,19.83,71.79,17.5,48.86,4.3,50.0,10.09,50.0,3.85,55.57,47.34,18.43,41.79,10.19,60.1,5.29,50.0,10.09,50.0,3.85,47.85,43.59,16.97,79.3,19.33,41.1,3.62,50.0,10.09,50.0,3.85,53.86,36.48,14.2,39.29,9.58,46.35,4.08,50.0,10.09,50.0,3.85,41.8
202608091507,2026-08-09,15,7R,daily,68.17,26.54,49.29,12.01,39.34,3.47,50.0,10.09,50.0,3.85,55.96,53.06,20.66,46.79,11.41,54.93,4.84,50.0,10.09,50.0,3.85,50.84,50.92,19.83,41.79,10.19,36.38,3.21,50.0,10.09,50.0,3.85,47.16,47.34,18.43,44.29,10.8,48.62,4.28,50.0,10.09,50.0,3.85,47.45,43.59,16.97,74.3,18.11,55.27,4.87,50.0,10.09,50.0,3.85,53.89,36.48,14.2,29.28,7.14,35.36,3.12,50.0,10.09,50.0,3.85,38.39
