レースコード,レース日,レース場コード,レース回,状態,買い目1,買い目2,買い目3,買い目4,買い目5,決まり手1,決まり手2,決まり手3,決まり手4,決まり手5
202608160502,2026-08-16,05,2R,realtime,3-1-2,3-1-4,3-1-6,3-1-5,2-1-3,まくり差し,まくり差し,まくり差し,まくり差し,差し
202608160503,2026-08-16,05,3R,daily,2-1-3,2-1-4,2-3-1,2-1-5,2-4-1,差し,差し,差し,差し,差し
202608160503,2026-08-16,05,3R,realtime,2-1-6,2-1-3,2-1-4,2-6-1,2-1-5,まくり差し,まくり差し,まくり差し,まくり,まくり差し
202608160504,2026-08-16,05,4R,daily,3-1-4,4-1-2,3-1-2,4-1-3,3-1-5,まくり差し,まくり,まくり差し,差し,まくり差し
202608160504,2026-08-16,05,4R,realtime,3-1-4,3-1-2,3-1-5,4-1-2,4-1-3,まくり差し,まくり差し,まくり差し,まくり,差し
202608160505,2026-08-16,05,5R,daily,2-1-3,3-1-2,2-3-1,2-1-4,3-1-4,差し,まくり差し,差し,差し,まくり差し
202608160505,2026-08-16,05,5R,realtime,3-1-2,2-1-3,3-2-1,2-3-1,3-1-4,まくり差し,差し,まくり,差し,まくり差し
202608160506,2026-08-16,05,6R,daily,3-1-2,2-1-3,3-1-4,3-1-5,2-3-1,まくり差し,差し,まくり差し,まくり差し,差し
202608160506,2026-08-16,05,6R,realtime,3-1-2,3-1-5,3-1-4,2-1-3,3-2-1,まくり差し,まくり差し,まくり差し,差し,まくり
202608160507,2026-08-16,05,7R,daily,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1,差し,差し,差し,差し,差し
202608160507,2026-08-16,05,7R,realtime,2-1-3,2-1-6,2-1-4,2-1-5,6-1-2,差し,差し,差し,差し,まくり差し
202608160508,2026-08-16,05,8R,daily,3-1-5,3-1-4,3-1-2,5-1-3,3-1-6,まくり差し,まくり差し,まくり差し,まくり差し,まくり差し
202608160508,2026-08-16,05,8R,realtime,3-1-2,3-1-4,3-1-5,3-1-6,3-2-1,まくり差し,まくり差し,まくり差し,まくり差し,まくり
202608160509,2026-08-16,05,9R,daily,6-1-2,2-1-3,6-1-3,3-1-2,3-1-5,まくり差し,差し,まくり差し,まくり差し,まくり差し
202608160509,2026-08-16,05,9R,realtime,6-1-2,6-1-5,6-1-3,2-1-6,6-2-1,まくり差し,まくり差し,まくり差し,差し,まくり差し
202608160510,2026-08-16,05,10R,daily,3-1-2,2-1-3,3-1-4,4-1-3,3-1-5,まくり差し,差し,まくり差し,差し,まくり差し
202608160510,2026-08-16,05,10R,realtime,4-1-2,4-1-5,4-1-3,2-1-4,4-1-6,まくり,まくり,差し,差し,まくり
202608160511,2026-08-16,05,11R,daily,3-1-4,3-1-2,3-1-5,4-1-3,4-1-5,まくり差し,まくり差し,まくり差し,差し,まくり
202608160511,2026-08-16,05,11R,realtime,3-1-4,3-1-2,3-1-5,4-1-2,4-1-5,まくり差し,まくり差し,まくり差し,まくり,まくり
202608160512,2026-08-16,05,12R,daily,3-1-4,3-1-2,3-1-5,2-1-3,3-1-6,まくり差し,まくり差し,まくり差し,差し,まくり差し
202608160601,2026-08-16,06,1R,daily,2-1-3,3-1-2,3-1-4,2-1-4,5-1-2,差し,まくり差し,まくり差し,差し,まくり差し
202608160601,2026-08-16,06,1R,realtime,2-1-3,2-1-4,5-1-2,3-1-2,2-1-5,差し,差し,まくり差し,まくり差し,差し
202608160602,2026-08-16,06,2R,daily,4-1-2,4-1-5,4-1-3,2-1-4,2-1-3,まくり,まくり,差し,差し,差し
202608160602,2026-08-16,06,2R,realtime,4-1-6,4-1-2,4-1-3,6-1-4,4-6-1,まくり差し,まくり差し,まくり差し,差し,まくり
202608160603,2026-08-16,06,3R,daily,2-1-4,2-1-3,4-1-2,4-1-3,3-1-4,差し,差し,まくり,差し,まくり差し
202608160603,2026-08-16,06,3R,realtime,2-1-4,2-1-3,4-1-2,2-4-1,3-1-4,差し,差し,まくり,差し,まくり差し
202608160604,2026-08-16,06,4R,daily,3-1-2,3-1-5,2-1-3,3-1-4,5-1-3,まくり差し,まくり差し,差し,まくり差し,まくり差し
202608160604,2026-08-16,06,4R,realtime,2-1-4,2-1-3,4-1-2,3-1-2,2-1-5,差し,差し,まくり,まくり差し,差し
202608160605,2026-08-16,06,5R,daily,2-1-3,3-1-2,3-1-5,2-3-1,2-1-5,差し,まくり差し,まくり差し,差し,差し
202608160605,2026-08-16,06,5R,realtime,2-1-3,3-1-2,2-3-1,3-2-1,2-1-5,差し,まくり差し,差し,まくり,差し
202608160606,2026-08-16,06,6R,daily,2-1-3,2-1-4,2-1-5,3-1-2,3-1-4,差し,差し,差し,まくり差し,まくり差し
202608160606,2026-08-16,06,6R,realtime,4-1-3,3-1-4,2-1-3,2-1-4,4-1-5,差し,まくり差し,差し,差し,まくり
202608160607,2026-08-16,06,7R,daily,2-1-3,2-1-4,2-3-1,2-1-5,3-1-2,差し,差し,差し,差し,まくり差し
202608160607,2026-08-16,06,7R,realtime,2-1-3,2-1-4,2-1-5,2-3-1,2-1-6,差し,差し,差し,差し,差し
202608160608,2026-08-16,06,8R,daily,4-1-3,3-1-4,4-1-2,4-1-5,4-3-1,差し,まくり差し,まくり,まくり,まくり
202608160608,2026-08-16,06,8R,realtime,4-1-5,4-1-2,4-1-3,4-1-6,3-1-4,まくり,まくり,差し,まくり,まくり差し
202608160609,2026-08-16,06,9R,daily,3-1-4,3-1-2,3-1-5,2-1-3,4-1-3,まくり差し,まくり差し,まくり差し,差し,差し
202608160609,2026-08-16,06,9R,realtime,3-1-4,3-1-2,3-1-5,4-1-2,2-1-4,まくり差し,まくり差し,まくり差し,まくり,差し
202608160610,2026-08-16,06,10R,daily,2-1-3,3-1-4,3-1-2,2-1-4,3-1-5,差し,まくり差し,まくり差し,差し,まくり差し
202608160610,2026-08-16,06,10R,realtime,3-1-4,3-1-2,2-1-3,4-1-3,3-1-5,まくり差し,まくり差し,差し,差し,まくり差し
202608160611,2026-08-16,06,11R,daily,2-1-3,3-1-2,3-1-4,2-1-4,3-1-5,差し,まくり差し,まくり差し,差し,まくり差し
202608160611,2026-08-16,06,11R,realtime,2-1-3,2-1-6,2-1-4,3-1-2,2-3-1,まくり差し,まくり差し,まくり差し,差し,まくり
202608160612,2026-08-16,06,12R,daily,3-1-2,3-1-4,3-1-5,2-1-3,3-2-1,まくり差し,まくり差し,まくり差し,差し,まくり
202608160701,2026-08-16,07,1R,daily,2-1-3,2-1-4,4-1-2,3-1-2,2-1-5,差し,差し,まくり,まくり差し,差し
202608160701,2026-08-16,07,1R,realtime,2-1-4,2-1-3,4-1-2,2-4-1,4-2-1,差し,差し,まくり,差し,まくり
202608160702,2026-08-16,07,2R,daily,3-1-4,3-1-2,3-1-5,2-1-3,4-1-3,まくり差し,まくり差し,まくり差し,差し,差し
202608160702,2026-08-16,07,2R,realtime,3-1-4,3-1-2,3-1-5,2-1-3,2-1-4,まくり差し,まくり差し,まくり差し,差し,差し
202608160703,2026-08-16,07,3R,daily,3-1-5,3-1-4,3-1-2,5-1-2,5-1-3,まくり差し,まくり差し,まくり差し,まくり差し,まくり差し
202608160703,2026-08-16,07,3R,realtime,5-1-3,3-1-5,5-1-2,5-1-4,3-1-4,まくり差し,まくり差し,まくり差し,まくり差し,まくり差し
202608160704,2026-08-16,07,4R,daily,2-1-3,4-1-3,3-1-4,4-1-2,4-1-5,差し,差し,まくり差し,まくり,まくり
202608160704,2026-08-16,07,4R,realtime,2-1-3,2-1-4,4-1-2,4-1-3,3-1-4,差し,差し,まくり,差し,まくり差し
202608160705,2026-08-16,07,5R,daily,3-1-2,2-1-3,3-1-4,4-1-2,4-1-3,まくり差し,差し,まくり差し,まくり,差し
202608160706,2026-08-16,07,6R,daily,3-1-2,2-1-3,3-1-4,3-1-5,5-1-3,まくり差し,差し,まくり差し,まくり差し,まくり差し
202608160707,2026-08-16,07,7R,daily,4-1-2,4-1-3,4-1-5,2-1-4,2-1-3,まくり,差し,まくり,差し,差し
202608160708,2026-08-16,07,8R,daily,3-1-2,3-1-4,2-1-3,3-1-5,2-1-4,まくり差し,まくり差し,差し,まくり差し,差し
202608160709,2026-08-16,07,9R,daily,4-1-2,4-1-3,2-1-4,4-1-5,3-1-4,まくり,差し,差し,まくり,まくり差し
202608160710,2026-08-16,07,10R,daily,2-1-3,2-1-4,2-1-5,3-1-2,3-1-4,差し,差し,差し,まくり差し,まくり差し
202608160711,2026-08-16,07,11R,daily,2-1-3,3-1-2,3-1-4,2-1-4,4-1-3,差し,まくり差し,まくり差し,差し,差し
202608160712,2026-08-16,07,12R,daily,2-1-3,2-1-4,2-1-5,3-1-2,4-1-2,差し,差し,差し,まくり差し,まくり
202608160901,2026-08-16,09,1R,daily,2-1-3,3-1-2,4-1-2,2-1-4,3-1-4,差し,まくり差し,まくり,差し,まくり差し
202608160901,2026-08-16,09,1R,realtime,4-1-2,4-1-3,3-1-4,4-1-5,2-1-4,まくり,差し,まくり差し,まくり,差し
202608160902,2026-08-16,09,2R,daily,2-1-3,2-1-4,2-1-5,2-3-1,5-1-2,差し,差し,差し,差し,まくり差し
202608160902,2026-08-16,09,2R,realtime,2-1-3,2-1-5,2-1-4,5-1-2,5-2-1,差し,差し,差し,まくり差し,まくり差し
202608160903,2026-08-16,09,3R,daily,3-1-5,3-1-4,3-1-2,2-1-3,2-1-4,まくり差し,まくり差し,まくり差し,差し,差し
202608160903,2026-08-16,09,3R,realtime,3-1-4,3-1-5,5-1-4,4-1-5,3-1-2,まくり差し,まくり差し,まくり差し,まくり,まくり差し
202608160904,2026-08-16,09,4R,daily,2-1-4,2-1-3,2-1-5,2-4-1,2-1-6,差し,差し,差し,差し,差し
202608160904,2026-08-16,09,4R,realtime,2-1-4,2-1-3,2-4-1,2-1-5,4-2-1,差し,差し,差し,差し,まくり
202608160905,2026-08-16,09,5R,daily,3-1-2,2-1-3,3-1-4,3-1-5,2-1-4,まくり差し,差し,まくり差し,まくり差し,差し
202608160905,2026-08-16,09,5R,realtime,3-1-5,3-1-2,3-1-4,3-5-1,3-2-1,まくり,差し,まくり,まくり,まくり
202608160906,2026-08-16,09,6R,daily,2-1-3,3-1-4,3-1-2,2-1-4,3-1-6,差し,まくり差し,まくり差し,差し,まくり差し
202608160906,2026-08-16,09,6R,realtime,2-1-3,3-1-4,2-1-4,3-1-2,3-1-5,差し,まくり差し,差し,まくり差し,まくり差し
202608160907,2026-08-16,09,7R,daily,2-1-3,2-1-4,2-3-1,3-1-2,2-1-5,差し,差し,差し,まくり差し,差し
202608160907,2026-08-16,09,7R,realtime,2-1-3,2-1-4,2-3-4,6-1-2,2-4-3,まくり差し,まくり差し,まくり,差し,まくり
202608160908,2026-08-16,09,8R,daily,3-1-4,3-1-2,2-1-3,2-1-4,3-1-5,まくり差し,まくり差し,差し,差し,まくり差し
202608160908,2026-08-16,09,8R,realtime,6-1-2,2-1-6,6-1-4,6-1-3,3-1-6,まくり差し,差し,まくり差し,まくり差し,まくり差し
202608160909,2026-08-16,09,9R,daily,4-1-2,2-1-3,2-1-4,4-1-5,4-1-3,まくり,差し,差し,まくり,差し
202608160909,2026-08-16,09,9R,realtime,4-1-2,4-1-3,4-1-6,4-1-5,2-1-3,まくり,差し,まくり,まくり,差し
202608160910,2026-08-16,09,10R,daily,3-1-4,3-1-2,3-1-5,2-1-3,4-1-3,まくり差し,まくり差し,まくり差し,差し,差し
202608160910,2026-08-16,09,10R,realtime,3-1-4,3-1-5,3-1-2,3-1-6,3-4-1,まくり差し,まくり差し,まくり差し,まくり差し,まくり
202608160911,2026-08-16,09,11R,daily,4-1-2,2-1-4,4-1-5,4-2-1,4-1-3,まくり,差し,まくり,まくり,差し
202608160911,2026-08-16,09,11R,realtime,4-1-2,4-2-1,2-1-4,4-1-3,2-4-1,まくり,まくり,差し,差し,差し
202608160912,2026-08-16,09,12R,daily,2-1-4,4-1-2,2-1-3,4-1-3,4-1-5,差し,まくり,差し,差し,まくり
202608160912,2026-08-16,09,12R,realtime,2-1-4,2-1-5,4-1-2,2-1-3,4-2-1,差し,差し,まくり,差し,まくり
