レースコード,予想1着,予想2着,予想3着,実際1着,実際2着,実際3着,1着的中,2着的中,3着的中,全的中,予想決まり手,決まり手,決まり手的中,艇1_予想コース,艇1_実際コース,艇2_予想コース,艇2_実際コース,艇3_予想コース,艇3_実際コース,艇4_予想コース,艇4_実際コース,艇5_予想コース,艇5_実際コース,艇6_予想コース,艇6_実際コース,コース一致数,進入完全一致,艇1_予想ST,艇1_実際ST,艇2_予想ST,艇2_実際ST,艇3_予想ST,艇3_実際ST,艇4_予想ST,艇4_実際ST,艇5_予想ST,艇5_実際ST,艇6_予想ST,艇6_実際ST,ST_MAE
202603301606,3,1,4,1,2,3,×,×,×,×,逃げ,逃げ,○,2,1.0,5,2.0,1,3.0,3,4.0,4,5.0,6,6.0,1,×,-0.018,0.11,0.046,0.08,-0.007,0.1,0.1,0.09,0.02,0.08,0.049,0.09,0.06333333333333334
202603301607,5,1,3,1,4,2,×,×,×,×,逃げ,逃げ,○,2,1.0,5,2.0,3,3.0,6,4.0,1,5.0,4,6.0,1,×,-0.021,0.11,-0.005,0.18,-0.077,0.21,0.004,0.2,0.079,0.21,-0.061,0.24,0.20516666666666664
202603301608,2,5,4,1,4,3,×,×,×,×,逃げ,逃げ,○,5,1.0,1,2.0,6,3.0,4,4.0,2,5.0,3,6.0,1,×,0.004,0.06,0.058,0.1,0.048,0.08,-0.019,0.07,0.005,0.11,-0.001,0.27,0.09916666666666667
202603301609,4,1,3,1,4,5,×,×,×,×,逃げ,逃げ,○,5,1.0,2,2.0,4,3.0,1,4.0,6,5.0,3,6.0,1,×,0.023,0.12,-0.004,0.03,-0.002,0.04,0.025,0.09,0.044,0.13,0.02,0.12,0.07066666666666667
202603301610,5,1,4,4,1,2,×,○,×,×,逃げ,差し,×,2,1.0,5,2.0,6,3.0,4,4.0,1,5.0,3,,1,×,0.037,0.14,0.024,0.17,0.044,0.16,0.054,0.07,0.01,0.08,0.033,,0.09020000000000002
202603301611,4,1,5,1,2,5,×,×,○,×,逃げ,逃げ,○,5,1.0,4,2.0,6,3.0,1,4.0,2,5.0,3,6.0,0,×,-0.001,0.06,0.038,0.12,0.005,0.13,0.057,0.15,-0.013,0.19,-0.019,0.22,0.13383333333333333
202603301612,1,5,3,1,5,3,○,○,○,○,逃げ,逃げ,○,1,1.0,5,2.0,3,3.0,4,4.0,2,5.0,6,6.0,4,×,0.085,0.07,0.044,0.11,-0.004,0.13,0.09,0.09,0.014,0.08,0.024,0.09,0.05783333333333334
202603301301,4,1,6,1,3,4,×,×,×,×,逃げ,逃げ,○,3,1.0,4,2.0,5,3.0,1,4.0,6,5.0,2,6.0,0,×,0.063,0.13,0.137,0.22,0.015,0.12,0.029,0.07,0.045,0.11,0.037,0.09,0.069
202603301302,3,2,6,2,1,5,×,×,×,×,逃げ,差し,×,6,1.0,3,2.0,1,3.0,5,4.0,4,5.0,2,6.0,0,×,0.133,0.15,0.017,0.14,0.031,0.17,0.028,0.16,-0.011,0.11,0.01,0.12,0.107
202603301303,6,1,4,2,1,3,×,○,×,×,逃げ,差し,×,3,1.0,5,2.0,6,3.0,4,6.0,2,4.0,1,5.0,0,×,0.028,0.19,0.066,0.17,0.067,0.18,0.003,0.17,-0.002,0.21,0.071,0.15,0.13949999999999999
