レースコード,レース日,レース場,レース回,締切時刻,取得日時,結果記録時刻,決まり手,1着_艇番,1着_選手名,1着_レースタイム,2着_艇番,2着_選手名,2着_レースタイム,3着_艇番,3着_選手名,3着_レースタイム,4着_艇番,4着_選手名,4着_レースタイム,5着_艇番,5着_選手名,5着_レースタイム,6着_艇番,6着_選手名,6着_レースタイム,1コース_艇番,1コース_スタートタイミング,1コース_F,2コース_艇番,2コース_スタートタイミング,2コース_F,3コース_艇番,3コース_スタートタイミング,3コース_F,4コース_艇番,4コース_スタートタイミング,4コース_F,5コース_艇番,5コース_スタートタイミング,5コース_F,6コース_艇番,6コース_スタートタイミング,6コース_F,天候,風向,風速(m),波の高さ(cm),気温(℃),水温(℃)
202605181009,2026-05-18,10,09R,12:17,2026-05-18T12:32:24.814251+09:00,1220,差　し,2,山崎　　裕司,"1'50""3",1,浅見　　昌克,"1'51""4",4,田中　　孝明,"1'53""3",5,櫻井　　　優,"1'54""0",3,松田　　竜馬,,6,柏野　　幸二,,1,0.19,,2,0.21,,3,0.27,,4,0.42,,5,0.41,,6,0.43,,1,5,2.0,2.0,30.0,23.0
202605181704,2026-05-18,17,04R,12:21,2026-05-18T12:36:34.895178+09:00,1224,逃　げ,1,籾山　　佳岳,"1'49""7",5,西村　　拓也,"1'50""8",2,庄司　樹良々,"1'51""5",3,胡本　　悟志,"1'53""4",6,武田　　正紀,"1'55""5",4,抹香　　雄三,"1'55""8",1,0.18,,2,0.21,,3,0.16,,4,0.15,,5,0.13,,6,0.09,,1,5,1.0,1.0,23.0,19.0
202605181409,2026-05-18,14,09R,12:26,2026-05-18T12:44:25.284991+09:00,1229,差　し,2,上田　　健太,"1'48""6",1,中野　　和裕,"1'50""2",6,佐々木　康幸,"1'51""4",3,金子　　貴志,"1'53""3",5,橋本　　久和,,4,飯島　　　誠,,1,0.14,,2,0.15,,6,0.09,,3,0.3,,4,0.27,,5,0.28,,1,3,2.0,2.0,24.0,19.0
202605180603,2026-05-18,06,03R,12:29,2026-05-18T12:46:26.472835+09:00,1233,まくり差し,4,渡邊　　裕貴,"1'49""7",5,湯淺　　紀香,"1'50""6",6,渡邉　　和将,"1'52""6",3,柴田　　大輔,"1'54""3",1,赤澤　　文香,,2,井田　　涼介,,1,0.13,,2,0.16,,3,0.13,,4,0.14,,5,0.27,,6,0.25,,1,5,3.0,2.0,23.0,23.0
202605181809,2026-05-18,18,09R,12:31,2026-05-18T12:52:26.353989+09:00,1234,逃　げ,1,大橋　栄里佳,"1'50""9",3,海野　ゆかり,"1'53""8",6,宇野　　弥生,"1'54""5",2,田村　　美和,"1'55""3",4,前原　　　哉,,5,出穂　　和鼓,,1,0.21,,2,0.24,,3,0.2,,4,0.25,,5,0.22,,6,0.14,,1,6,3.0,3.0,25.0,20.0
202605182105,2026-05-18,21,05R,12:38,2026-05-18T12:54:28.058148+09:00,1241,逃　げ,1,佐々木　完太,"1'48""0",4,中島　　孝平,"1'48""7",5,河合　　佑樹,"1'49""5",2,羽野　　直也,"1'50""2",6,篠崎　　仁志,"1'50""6",3,原田　　幸哉,"1'52""2",1,0.11,,2,0.07,,3,0.03,,4,0.11,,5,0.15,,6,0.14,,1,2,2.0,2.0,30.9,26.6
202605180205,2026-05-18,02,05R,12:44,2026-05-18T13:01:35.975699+09:00,1247,まくり,2,服部　　幸男,"1'49""4",3,奥平　　拓也,"1'50""6",4,小森　　信雄,"1'52""2",6,石田　　章央,"1'52""6",1,入澤　　友治,,5,飯田　　庄吾,,1,0.19,,2,0.16,,3,0.28,,4,0.18,,5,0.1,,6,0.09,,1,5,2.0,1.0,28.0,25.0
202605181010,2026-05-18,10,10R,12:49,2026-05-18T13:04:30.111808+09:00,1252,逃　げ,1,谷川　　将太,"1'49""5",2,宮崎　　　奨,"1'50""9",6,原　　　豊土,"1'51""9",3,山地　　正樹,"1'52""4",4,津田　　裕絵,,5,後藤　　隼之,,1,0.14,,2,0.12,,3,0.11,,4,0.12,,5,0.14,,6,0.16,,1,4,3.0,3.0,31.0,23.0
202605181705,2026-05-18,17,05R,12:47,2026-05-18T13:04:30.111808+09:00,1250,逃　げ,1,金田　　　諭,"1'49""9",4,中渡　　修作,"1'50""7",5,桐本　　康臣,"1'53""1",2,田上　　　凜,"1'53""4",6,高山　　智至,"1'53""9",3,川崎　　公靖,"1'58""2",1,0.1,,3,0.14,,4,0.14,,5,0.14,,6,0.2,,2,0.16,,1,,0.0,1.0,23.0,19.0
202605180604,2026-05-18,06,04R,13:00,2026-05-18T13:16:23.680551+09:00,1304,まくり,3,齋藤　　達希,"1'50""4",1,藤岡　　俊介,"1'51""9",5,伊藤　　啓三,"1'52""9",2,加藤　　　翔,"1'54""1",6,澁澤　　周羽,,4,根岸　　真優,,1,0.18,,2,0.21,,3,0.18,,4,0.14,,5,0.12,,6,0.14,,1,5,5.0,3.0,23.0,24.0
