レースコード,タイトル,日次,レース日,レース場,レース回,レース名,距離(m),天候,風向,風速(m),波の高さ(cm),決まり手,単勝_艇番,単勝_払戻金,複勝_1着_艇番,複勝_1着_払戻金,複勝_2着_艇番,複勝_2着_払戻金,2連単_組番,2連単_払戻金,2連単_人気,2連複_組番,2連複_払戻金,2連複_人気,拡連複_1-2着_組番,拡連複_1-2着_払戻金,拡連複_1-2着_人気,拡連複_1-3着_組番,拡連複_1-3着_払戻金,拡連複_1-3着_人気,拡連複_2-3着_組番,拡連複_2-3着_払戻金,拡連複_2-3着_人気,3連単_組番,3連単_払戻金,3連単_人気,3連複_組番,3連複_払戻金,3連複_人気,1着_着順,1着_艇番,1着_登録番号,1着_選手名,1着_モーター番号,1着_ボート番号,1着_展示タイム,1着_進入コース,1着_スタートタイミング,1着_レースタイム,2着_着順,2着_艇番,2着_登録番号,2着_選手名,2着_モーター番号,2着_ボート番号,2着_展示タイム,2着_進入コース,2着_スタートタイミング,2着_レースタイム,3着_着順,3着_艇番,3着_登録番号,3着_選手名,3着_モーター番号,3着_ボート番号,3着_展示タイム,3着_進入コース,3着_スタートタイミング,3着_レースタイム,4着_着順,4着_艇番,4着_登録番号,4着_選手名,4着_モーター番号,4着_ボート番号,4着_展示タイム,4着_進入コース,4着_スタートタイミング,4着_レースタイム,5着_着順,5着_艇番,5着_登録番号,5着_選手名,5着_モーター番号,5着_ボート番号,5着_展示タイム,5着_進入コース,5着_スタートタイミング,5着_レースタイム,6着_着順,6着_艇番,6着_登録番号,6着_選手名,6着_モーター番号,6着_ボート番号,6着_展示タイム,6着_進入コース,6着_スタートタイミング,6着_レースタイム
201911121405,第３回鳴門天然温泉あらたえの湯なるみ丸カップ競走,第6日,2019/11/12,鳴門,05R,一般戦,1800,晴,北西,4,4,逃げ,1,290,1,180,4,660,1-4,3190,15,1-4,2220,11,1-4,370,7,1-3,330,6,3-4,1310,12,1-4-3,20530,72,1-3-4,4000,14,1,1,4511,中 岡 健 人,32,32,6.76,1,0.14,109.4,2,4,3355,橋谷田 佳 織,69,54,6.79,6,0.12,110.5,3,3,4203,小 倉 康 典,18,65,6.87,3,0.08,111.7,4,5,4782,浜 崎 準 也,38,67,6.8,4,0.05,112.8,5,6,3284,渡 邊 伸太郎,59,77,6.84,5,0.05,,6,2,4198,沼 田 克 彦,57,57,6.8,2,0.11,
201911121406,第３回鳴門天然温泉あらたえの湯なるみ丸カップ競走,第6日,2019/11/12,鳴門,06R,一般戦,1800,晴,北西,4,4,まくり,3,250,3,170,6,150,3-6,930,3,3-6,580,2,3-6,170,2,3-4,310,4,4-6,520,7,3-6-4,2230,6,3-4-6,670,3,1,3,4376,藤 田 靖 弘,50,61,6.75,2,0.19,107.6,2,6,3611,岩 崎 芳 美,72,75,6.81,5,0.31,108.7,3,4,4836,大 谷 健 太,13,79,6.79,4,0.29,110.6,4,5,3741,松 尾 基 成,22,63,6.84,3,0.23,112.3,5,1,4892,柴 田 直 哉,11,19,6.74,1,0.25,,6,2,5019,柴 田 百 恵,31,64,6.75,6,0.33,
201911121407,第３回鳴門天然温泉あらたえの湯なるみ丸カップ競走,第6日,2019/11/12,鳴門,07R,一般戦,1800,晴,北西,4,4,逃げ,1,200,1,250,2,470,1-2,1270,4,1-2,630,2,1-2,360,6,1-5,860,10,2-5,760,9,1-2-5,17160,64,1-2-5,5270,13,1,1,4277,金 田 大 輔,25,69,6.72,1,0.02,109.0,2,2,4635,峰 重 力 也,29,82,6.78,3,0.08,109.8,3,5,4284,山 本 良 一,16,26,6.78,6,0.09,111.6,4,4,3797,岩 井 繁,51,78,6.78,5,0.12,111.8,5,3,4243,西 村 歩,73,29,6.84,4,0.08,,6,6,3422,服 部 幸 男,74,28,6.77,2,0.07,
201911121408,第３回鳴門天然温泉あらたえの湯なるみ丸カップ競走,第6日,2019/11/12,鳴門,08R,一般戦,1800,晴,北西,2,2,逃げ,1,450,1,280,6,280,1-6,1630,7,1-6,1030,6,1-6,230,5,1-4,150,1,4-6,190,4,1-6-4,3020,6,1-4-6,450,1,1,1,3750,笠 井 広 幸,63,10,6.82,1,0.13,108.7,2,6,4261,岡 祐 臣,19,37,6.78,6,0.17,109.4,3,4,3713,伊 藤 誠 二,21,17,6.8,4,0.15,111.1,4,2,3974,深 山 祐 二,58,24,6.81,2,0.17,111.5,5,3,4035,杉 江 浩 明,37,33,6.9,3,0.15,,6,5,3894,池 田 明 美,61,56,6.81,5,0.14,
201911121409,第３回鳴門天然温泉あらたえの湯なるみ丸カップ競走,第6日,2019/11/12,鳴門,09R,なるちゃん特,1800,晴,北西,3,3,逃げ,1,150,1,120,3,390,1-3,1120,4,1-3,590,2,1-3,360,5,1-4,200,2,3-4,510,7,1-3-4,3240,13,1-3-4,940,4,1,1,4782,浜 崎 準 也,38,67,6.73,1,0.13,108.5,2,3,4231,鈴 木 裕 隆,65,72,6.86,3,0.16,110.2,3,4,3725,向 達 哉,62,18,6.77,4,0.17,111.9,4,5,3569,増 田 進,67,16,6.78,5,0.18,112.1,5,2,3075,中 村 裕 将,10,74,6.78,2,0.15,,6,6,3302,谷 川 里 江,26,14,6.69,6,0.18,
201911121410,第３回鳴門天然温泉あらたえの湯なるみ丸カップ競走,第6日,2019/11/12,鳴門,10R,選抜戦,1800,晴,北西,2,2,,5,1490,5,690,3,420,5-3,7090,21,3-5,3750,12,3-5,920,12,2-5,260,3,2-3,400,7,5-3-2,54930,87,2-3-5,3220,11,1,5,4376,藤 田 靖 弘,50,61,6.83,5,0.14,107.5,2,3,4511,中 岡 健 人,32,32,6.79,3,0.18,109.8,3,2,2942,瀬 尾 達 也,14,21,6.69,2,0.07,109.9,4,4,4739,中 村 晃 朋,79,20,6.88,4,0.14,112.1,5,6,3614,谷 勝 幸,76,59,6.77,6,0.28,,6,1,3284,渡 邊 伸太郎,59,77,6.85,1,0.18,
201911121411,第３回鳴門天然温泉あらたえの湯なるみ丸カップ競走,第6日,2019/11/12,鳴門,11R,選抜戦,1800,晴,北西,4,4,逃げ,1,220,1,100,3,150,1-3,680,3,1-3,430,2,1-3,210,2,1-4,340,4,3-4,600,9,1-3-4,1740,5,1-3-4,1020,4,1,1,3611,岩 崎 芳 美,72,75,6.72,1,0.18,107.9,2,3,3713,伊 藤 誠 二,21,17,6.85,3,0.18,109.5,3,4,2903,山 崎 毅,24,55,6.81,4,0.2,110.8,4,6,4539,金 子 賢 志,33,62,6.87,6,0.18,111.7,5,5,4198,沼 田 克 彦,57,57,6.85,5,0.21,,6,2,3422,服 部 幸 男,74,28,6.78,2,0.17,
201911121412,第３回鳴門天然温泉あらたえの湯なるみ丸カップ競走,第6日,2019/11/12,鳴門,12R,優勝戦,1800,晴,北西,2,2,逃げ,1,170,1,120,3,270,1-3,430,2,1-3,330,1,1-3,180,1,1-4,190,2,3-4,310,6,1-3-4,1130,1,1-3-4,520,2,1,1,3999,大 瀧 明日香,20,50,6.79,1,0.06,107.6,2,3,3997,北 村 征 嗣,36,38,6.86,3,0.11,109.0,3,4,4384,鶴 本 崇 文,75,27,6.86,5,0.12,111.0,4,2,3188,日 高 逸 子,60,70,6.84,2,0.1,112.0,5,5,3920,正 木 聖 賢,27,12,6.86,4,0.17,,6,6,4704,河 野 大,53,31,6.76,6,0.06,
201911122401,ルーキーシリーズ第１９戦　スカパー！・ＪＬＣ杯,第6日,2019/11/12,琵琶湖,01R,びわこ幕開け,1800,晴,北東,3,3,逃げ,1,110,1,120,4,100,1-4,280,1,1-4,260,1,1-4,130,1,1-2,170,3,2-4,230,4,1-4-2,750,2,1-2-4,280,2,1,1,4812,西 野 雄 貴,45,49,6.83,1,0.1,109.2,2,4,4875,大 塚 康 雅,63,54,6.78,4,0.13,110.4,3,2,5002,上 田 健 太,17,70,6.78,2,0.14,113.2,4,3,4837,酒 井 陽 祐,51,62,6.87,3,0.11,114.1,5,6,4957,竹之内 極,44,48,6.77,6,0.16,,6,5,5040,木 村 颯,56,29,6.79,5,0.15,
201911122402,ルーキーシリーズ第１９戦　スカパー！・ＪＬＣ杯,第6日,2019/11/12,琵琶湖,02R,一般戦,1800,晴,北,3,3,差し,6,940,6,100,1,120,6-1,1080,5,1-6,450,2,1-6,230,2,2-6,150,1,1-2,280,6,6-1-2,3200,7,1-2-6,460,1,1,6,4808,松 尾 拓,52,15,6.79,6,0.15,110.1,2,1,4868,松 本 峻,46,46,6.8,1,0.12,110.8,3,2,4948,木 場 悠 介,14,27,6.76,2,0.04,113.2,4,4,4855,江 頭 賢 太,55,53,6.81,4,0.02,113.9,5,3,5034,若 林 義 人,62,28,6.85,3,0.13,,6,5,4958,溝 口 海義也,11,35,6.8,5,0.1,
