タイトル,日次,レース日,レース場,レース回,レース名,距離(m),電話投票締切予定,1枠_艇番,1枠_登録番号,1枠_選手名,1枠_年齢,1枠_支部,1枠_体重,1枠_級別,1枠_全国勝率,1枠_全国2連対率,1枠_当地勝率,1枠_当地2連対率,1枠_モーター番号,1枠_モーター2連対率,1枠_ボート番号,1枠_ボート2連対率,1枠_今節成績_1-1,1枠_今節成績_1-2,1枠_今節成績_2-1,1枠_今節成績_2-2,1枠_今節成績_3-1,1枠_今節成績_3-2,1枠_今節成績_4-1,1枠_今節成績_4-2,1枠_今節成績_5-1,1枠_今節成績_5-2,1枠_今節成績_6-1,1枠_今節成績_6-2,1枠_早見,2枠_艇番,2枠_登録番号,2枠_選手名,2枠_年齢,2枠_支部,2枠_体重,2枠_級別,2枠_全国勝率,2枠_全国2連対率,2枠_当地勝率,2枠_当地2連対率,2枠_モーター番号,2枠_モーター2連対率,2枠_ボート番号,2枠_ボート2連対率,2枠_今節成績_1-1,2枠_今節成績_1-2,2枠_今節成績_2-1,2枠_今節成績_2-2,2枠_今節成績_3-1,2枠_今節成績_3-2,2枠_今節成績_4-1,2枠_今節成績_4-2,2枠_今節成績_5-1,2枠_今節成績_5-2,2枠_今節成績_6-1,2枠_今節成績_6-2,2枠_早見,3枠_艇番,3枠_登録番号,3枠_選手名,3枠_年齢,3枠_支部,3枠_体重,3枠_級別,3枠_全国勝率,3枠_全国2連対率,3枠_当地勝率,3枠_当地2連対率,3枠_モーター番号,3枠_モーター2連対率,3枠_ボート番号,3枠_ボート2連対率,3枠_今節成績_1-1,3枠_今節成績_1-2,3枠_今節成績_2-1,3枠_今節成績_2-2,3枠_今節成績_3-1,3枠_今節成績_3-2,3枠_今節成績_4-1,3枠_今節成績_4-2,3枠_今節成績_5-1,3枠_今節成績_5-2,3枠_今節成績_6-1,3枠_今節成績_6-2,3枠_早見,4枠_艇番,4枠_登録番号,4枠_選手名,4枠_年齢,4枠_支部,4枠_体重,4枠_級別,4枠_全国勝率,4枠_全国2連対率,4枠_当地勝率,4枠_当地2連対率,4枠_モーター番号,4枠_モーター2連対率,4枠_ボート番号,4枠_ボート2連対率,4枠_今節成績_1-1,4枠_今節成績_1-2,4枠_今節成績_2-1,4枠_今節成績_2-2,4枠_今節成績_3-1,4枠_今節成績_3-2,4枠_今節成績_4-1,4枠_今節成績_4-2,4枠_今節成績_5-1,4枠_今節成績_5-2,4枠_今節成績_6-1,4枠_今節成績_6-2,4枠_早見,5枠_艇番,5枠_登録番号,5枠_選手名,5枠_年齢,5枠_支部,5枠_体重,5枠_級別,5枠_全国勝率,5枠_全国2連対率,5枠_当地勝率,5枠_当地2連対率,5枠_モーター番号,5枠_モーター2連対率,5枠_ボート番号,5枠_ボート2連対率,5枠_今節成績_1-1,5枠_今節成績_1-2,5枠_今節成績_2-1,5枠_今節成績_2-2,5枠_今節成績_3-1,5枠_今節成績_3-2,5枠_今節成績_4-1,5枠_今節成績_4-2,5枠_今節成績_5-1,5枠_今節成績_5-2,5枠_今節成績_6-1,5枠_今節成績_6-2,5枠_早見,6枠_艇番,6枠_登録番号,6枠_選手名,6枠_年齢,6枠_支部,6枠_体重,6枠_級別,6枠_全国勝率,6枠_全国2連対率,6枠_当地勝率,6枠_当地2連対率,6枠_モーター番号,6枠_モーター2連対率,6枠_ボート番号,6枠_ボート2連対率,6枠_今節成績_1-1,6枠_今節成績_1-2,6枠_今節成績_2-1,6枠_今節成績_2-2,6枠_今節成績_3-1,6枠_今節成績_3-2,6枠_今節成績_4-1,6枠_今節成績_4-2,6枠_今節成績_5-1,6枠_今節成績_5-2,6枠_今節成績_6-1,6枠_今節成績_6-2,6枠_早見
８  若松夜王Ｓ３戦ソフト,第4日,2025-12-08,ボートレース若松,4R,予選,1800,16:45,1,4406,幸野史明,,,25.0,,14.29,11.0,,,23.48,266,56,,,,,,,,,,,,,,,2,5244,黒田 剛,,,6.58,,10.0,42.0,,,34.21,445,13,10,,,,,,,,,,,,,,3,4236,松村 敏,,,63.06,,68.09,52.0,,,27.08,224222,12,,,,,,,,,,,,,,,4,4148,枝尾 賢,,,33.73,,51.22,8.0,,,25.42,253,S5,,,,,,,,,,,,,,,5,4368,山口隆史,,,17.07,,31.82,21.0,,,47.83,344,22,9,,,,,,,,,,,,,,6,4669,井上 茂,,,15.94,,24.0,55.0,,,30.00,3,3634,11,,,,,,,,,,,,,
８  若松夜王Ｓ３戦ソフト,第4日,2025-12-08,ボートレース若松,6R,予選,1800,17:38,1,3434,松尾宣邦,,,32.39,,26.56,9.0,,,30.77,132,14,10,,,,,,,,,,,,,,2,4355,小川広大,,,12.86,,19.3,15.0,,,34.58,6,456,2,,,,,,,,,,,,,,3,4899,占部一真,,,22.67,,18.6,62.0,,,32.73,6,555,1,,,,,,,,,,,,,,4,4272,大場広孝,,,23.38,,30.77,59.0,,,39.64,45261,,,,,,,,,,,,,,,,5,4544,松田大志,,,69.63,,61.11,3.0,,,21.62,112221,11,,,,,,,,,,,,,,,6,4424,松尾昂明,,,38.14,,41.11,19.0,,,34.82,111151,,,,,,,,,,,,,,,
８  若松夜王Ｓ３戦ソフト,第4日,2025-12-08,ボートレース若松,7R,予選特賞,1800,18:05,1,4151,下河誉史,,,34.58,,24.32,36.0,,,35.19,22264,12,,,,,,,,,,,,,,,2,3752,宇土泰就,,,20.73,,25.0,43.0,,,29.52,4,5343,,,,,,,,,,,,,,,3,3853,岩崎正哉,,,29.36,,37.21,50.0,,,39.25,43422,3,,,,,,,,,,,,,,,4,5398,鐘ヶ江真,,,2.74,,,33.0,,,16.36,3,3636,,,,,,,,,,,,,,,5,3444,香月大介,,,10.53,,15.38,16.0,,,33.04,664,56,,,,,,,,,,,,,,,6,4122,安東幸治,,,41.51,,35.53,41.0,,,30.77,36341,11,,,,,,,,,,,,,,
８  若松夜王Ｓ３戦ソフト,第4日,2025-12-08,ボートレース若松,8R,エイトビート,1800,18:34,1,4545,岡村慶太,,,50.51,,58.54,7.0,,,32.74,341112,12,,,,,,,,,,,,,,,2,4193,郷原章平,,,52.94,,45.28,25.0,,,34.48,251146,,,,,,,,,,,,,,,,3,4336,松田竜馬,,,31.3,,35.44,22.0,,,42.86,542135,,,,,,,,,,,,,,,,4,3804,中渡修作,,,19.05,,17.86,61.0,,,29.57,1,154,2,,,,,,,,,,,,,,5,5022,伊藤尚汰,,,21.62,,33.33,46.0,,,33.04,656,65,,,,,,,,,,,,,,,6,5392,安武一也,,,1.75,,,31.0,,,37.61,6,S65,1,,,,,,,,,,,,,
８  若松夜王Ｓ３戦ソフト,第4日,2025-12-08,ボートレース若松,9R,予選,1800,19:03,1,4463,三苫晃幸,,,29.89,,48.39,30.0,,,39.29,534,35,2,,,,,,,,,,,,,,2,5223,森清友翔,,,22.11,,2.0,54.0,,,39.66,4,351,1,,,,,,,,,,,,,,3,5258,仲本 舜,,,26.76,,16.67,58.0,,,23.08,516,36,,,,,,,,,,,,,,,4,4368,山口隆史,,,17.07,,31.82,21.0,,,47.83,344,22,4,,,,,,,,,,,,,,5,5207,高山敬悟,,,24.05,,26.83,2.0,,,42.48,3,642,3,,,,,,,,,,,,,,6,5029,中 亮太,,,38.46,,45.45,44.0,,,30.28,1,4612,5,,,,,,,,,,,,,
８  若松夜王Ｓ３戦ソフト,第4日,2025-12-08,ボートレース若松,0R,予選特賞,1800,19:33,1,4402,乙藤智史,,,40.79,,43.84,27.0,,,33.94,52543,2,,,,,,,,,,,,,,,2,3434,松尾宣邦,,,32.39,,26.56,9.0,,,30.77,132,14,6,,,,,,,,,,,,,,3,5244,黒田 剛,,,6.58,,10.0,42.0,,,34.21,445,13,4,,,,,,,,,,,,,,4,4451,松崎祐太,,,45.3,,45.0,38.0,,,22.22,235,41,3,,,,,,,,,,,,,,5,4204,柴田大輔,,,28.4,,27.87,13.0,,,38.46,6,222,1,,,,,,,,,,,,,,6,5104,山田 丈,,,48.89,,39.81,35.0,,,31.86,113,41,5,,,,,,,,,,,,,
８  若松夜王Ｓ３戦ソフト,第4日,2025-12-08,ボートレース若松,1R,一般特選,1800,20:04,1,4544,松田大志,,,69.63,,61.11,3.0,,,21.62,112221,6,,,,,,,,,,,,,,,2,4122,安東幸治,,,41.51,,35.53,41.0,,,30.77,36341,7,,,,,,,,,,,,,,,3,4669,井上 茂,,,15.94,,24.0,55.0,,,30.00,3,3634,4,,,,,,,,,,,,,,4,3986,沖島広和,,,27.85,,38.61,29.0,,,35.78,1,3346,2,,,,,,,,,,,,,,5,5071,野見山拓,,,28.75,,10.0,39.0,,,30.30,321,46,3,,,,,,,,,,,,,,6,4136,江夏 満,,,54.31,,56.63,45.0,,,26.61,252133,5,,,,,,,,,,,,,,
８  若松夜王Ｓ３戦ソフト,第4日,2025-12-08,ボートレース若松,2R,一般特選,1800,20:38,1,4236,松村 敏,,,63.06,,68.09,52.0,,,27.08,224222,4,,,,,,,,,,,,,,,2,5105,富田恕生,,,27.94,,34.48,14.0,,,45.54,4,4313,3,,,,,,,,,,,,,,3,4151,下河誉史,,,34.58,,24.32,36.0,,,35.19,22264,7,,,,,,,,,,,,,,,4,5303,土井歩夢,,,33.66,,18.39,51.0,,,27.35,4,1324,1,,,,,,,,,,,,,,5,4060,島田一生,,,33.33,,48.28,12.0,,,30.09,522,23,5,,,,,,,,,,,,,,6,4545,岡村慶太,,,50.51,,58.54,7.0,,,32.74,341112,8,,,,,,,,,,,,,,
８  開設７１周記念海,第2日,2025-12-08,ボートレース下関,1R,予選,1800,15:27,1,4985,井本昌也,,,50.0,,52.03,34.0,,,31.21,3,10,,,,,,,,,,,,,,,2,4512,高野哲史,,,50.0,,48.28,72.0,,,34.31,6,8,,,,,,,,,,,,,,,3,4502,遠藤エミ,,,59.81,,60.0,48.0,,,33.81,5,11,,,,,,,,,,,,,,,4,4269,杉山裕也,,,56.88,,51.85,41.0,,,36.62,3,9,,,,,,,,,,,,,,,5,3908,重成一人,,,49.59,,57.41,36.0,,,41.43,2,6,,,,,,,,,,,,,,,6,4335,若林 将,,,47.37,,43.59,19.0,,,35.97,3,7,,,,,,,,,,,,,,
８  開設７１周記念海,第2日,2025-12-08,ボートレース下関,2R,予選,1800,15:56,1,3654,武田光史,,,50.0,,,56.0,,,37.59,5,,,,,,,,,,,,,,,,2,5142,常住 蓮,,,61.43,,50.0,20.0,,,30.77,6,8,,,,,,,,,,,,,,,3,4539,金子賢志,,,45.36,,45.24,31.0,,,33.33,2,,,,,,,,,,,,,,,,4,4030,森高一真,,,35.04,,26.09,14.0,,,30.77,3,10,,,,,,,,,,,,,,,5,4028,田村隆信,,,40.0,,43.75,67.0,,,33.09,6,9,,,,,,,,,,,,,,,6,4444,桐生順平,,,44.44,,72.22,13.0,,,31.06,2,7,,,,,,,,,,,,,,
８  開設７１周記念海,第2日,2025-12-08,ボートレース下関,3R,予選,1800,16:25,1,5042,畑田汰一,,,49.62,,63.33,70.0,,,31.03,5,11,,,,,,,,,,,,,,,2,4903,吉田凌太,,,50.72,,38.46,52.0,,,28.57,3,,,,,,,,,,,,,,,,3,4932,新開 航,,,44.35,,38.24,65.0,,,34.29,26,,,,,,,,,,,,,,,,4,4961,西橋奈未,,,54.05,,46.43,38.0,,,33.33,4,9,,,,,,,,,,,,,,,5,3942,寺田 祥,,,49.52,,65.08,11.0,,,36.69,4,8,,,,,,,,,,,,,,,6,4227,安達裕樹,,,40.21,,59.52,33.0,,,38.24,2,10,,,,,,,,,,,,,,
８  開設７１周記念海,第2日,2025-12-08,ボートレース下関,4R,予選,1800,16:53,1,5034,若林義人,,,48.8,,60.61,16.0,,,36.23,5,10,,,,,,,,,,,,,,,2,4350,篠崎元志,,,40.38,,37.04,53.0,,,29.86,21,,,,,,,,,,,,,,,,3,4959,井上忠政,,,50.0,,67.65,71.0,,,35.00,55,,,,,,,,,,,,,,,,4,4445,宮地元輝,,,35.79,,44.44,62.0,,,44.83,3,9,,,,,,,,,,,,,,,5,5016,宮田龍馬,,,48.18,,38.1,32.0,,,36.23,5,,,,,,,,,,,,,,,,6,4166,吉田拡郎,,,49.11,,66.67,35.0,,,31.97,3,11,,,,,,,,,,,,,,
８  開設７１周記念海,第2日,2025-12-08,ボートレース下関,5R,予選,1800,17:20,1,4659,木下翔太,,,41.53,,,47.0,,,32.28,5,,,,,,,,,,,,,,,,2,4980,佐々木完,,,53.27,,56.52,26.0,,,33.33,1,11,,,,,,,,,,,,,,,3,4290,稲田浩二,,,38.82,,22.22,61.0,,,37.32,45,,,,,,,,,,,,,,,,4,4573,佐藤 翼,,,37.0,,65.38,23.0,,,31.72,35,,,,,,,,,,,,,,,,5,3388,今垣光太,,,38.2,,46.15,59.0,,,40.56,1,10,,,,,,,,,,,,,,,6,4928,栗城 匠,,,50.54,,48.48,37.0,,,32.62,65,,,,,,,,,,,,,,,
８  開設７１周記念海,第2日,2025-12-08,ボートレース下関,6R,予選,1800,17:47,1,3908,重成一人,,,49.59,,57.41,36.0,,,41.43,2,1,,,,,,,,,,,,,,,2,3744,徳増秀樹,,,44.14,,48.98,63.0,,,36.96,66,,,,,,,,,,,,,,,,3,4371,西山貴浩,,,33.64,,51.85,24.0,,,30.28,6,11,,,,,,,,,,,,,,,4,4075,中野次郎,,,46.67,,31.25,42.0,,,33.85,12,,,,,,,,,,,,,,,,5,4503,上野真之,,,49.14,,53.85,60.0,,,28.47,53,,,,,,,,,,,,,,,,6,4427,秦 英悟,,,53.85,,,73.0,,,34.53,11,,,,,,,,,,,,,,,
８  開設７１周記念海,第2日,2025-12-08,ボートレース下関,7R,予選,1800,18:15,1,4856,豊田健士,,,48.48,,38.89,43.0,,,40.85,24,,,,,,,,,,,,,,,,2,4335,若林 将,,,47.37,,43.59,19.0,,,35.97,3,1,,,,,,,,,,,,,,,3,4444,桐生順平,,,44.44,,72.22,13.0,,,31.06,2,2,,,,,,,,,,,,,,,4,4686,丸野一樹,,,42.0,,52.63,28.0,,,30.34,4,,,,,,,,,,,,,,,,5,4064,原田篤志,,,63.56,,51.9,30.0,,,46.76,2,,,,,,,,,,,,,,,,6,4886,入海 馨,,,57.26,,61.11,45.0,,,30.88,4,,,,,,,,,,,,,,,
８  開設７１周記念海,第2日,2025-12-08,ボートレース下関,8R,予選,1800,18:44,1,4512,高野哲史,,,50.0,,48.28,72.0,,,34.31,6,1,,,,,,,,,,,,,,,2,4397,西村拓也,,,45.83,,45.16,64.0,,,45.59,23,,,,,,,,,,,,,,,,3,4344,新田雄史,,,51.49,,57.5,57.0,,,37.93,34,,,,,,,,,,,,,,,,4,3942,寺田 祥,,,49.52,,65.08,11.0,,,36.69,4,3,,,,,,,,,,,,,,,5,4739,中村晃朋,,,45.45,,55.26,21.0,,,34.53,4,,,,,,,,,,,,,,,,6,5142,常住 蓮,,,61.43,,50.0,20.0,,,30.77,6,2,,,,,,,,,,,,,,
８  開設７１周記念海,第2日,2025-12-08,ボートレース下関,9R,予選,1800,19:13,1,4324,海野康志,,,51.97,,57.33,29.0,,,36.17,32,,,,,,,,,,,,,,,,2,4028,田村隆信,,,40.0,,43.75,67.0,,,33.09,6,2,,,,,,,,,,,,,,,3,4445,宮地元輝,,,35.79,,44.44,62.0,,,44.83,3,4,,,,,,,,,,,,,,,4,4851,関 浩哉,,,46.67,,44.0,51.0,,,41.30,14,,,,,,,,,,,,,,,,5,4961,西橋奈未,,,54.05,,46.43,38.0,,,33.33,4,3,,,,,,,,,,,,,,,6,4269,杉山裕也,,,56.88,,51.85,41.0,,,36.62,3,1,,,,,,,,,,,,,,
８  開設７１周記念海,第2日,2025-12-08,ボートレース下関,0R,予選,1800,19:43,1,3388,今垣光太,,,38.2,,46.15,59.0,,,40.56,1,5,,,,,,,,,,,,,,,2,4227,安達裕樹,,,40.21,,59.52,33.0,,,38.24,2,3,,,,,,,,,,,,,,,3,5121,定松勇樹,,,52.43,,34.29,17.0,,,44.85,12,,,,,,,,,,,,,,,,4,5034,若林義人,,,48.8,,60.61,16.0,,,36.23,5,4,,,,,,,,,,,,,,,5,4985,井本昌也,,,50.0,,52.03,34.0,,,31.21,3,1,,,,,,,,,,,,,,,6,4030,森高一真,,,35.04,,26.09,14.0,,,30.77,3,2,,,,,,,,,,,,,,
８  開設７１周記念海,第2日,2025-12-08,ボートレース下関,1R,予選,1800,20:13,1,4371,西山貴浩,,,33.64,,51.85,24.0,,,30.28,6,6,,,,,,,,,,,,,,,2,4166,吉田拡郎,,,49.11,,66.67,35.0,,,31.97,3,4,,,,,,,,,,,,,,,3,4734,安河内将,,,53.91,,45.0,54.0,,,36.36,1,,,,,,,,,,,,,,,,4,5042,畑田汰一,,,49.62,,63.33,70.0,,,31.03,5,3,,,,,,,,,,,,,,,5,4980,佐々木完,,,53.27,,56.52,26.0,,,33.33,1,5,,,,,,,,,,,,,,,6,4502,遠藤エミ,,,59.81,,60.0,48.0,,,33.81,5,1,,,,,,,,,,,,,,
