レースコード,レース日,レース場コード,レース回,状態,1枠_コースpt,1枠_寄与_コースpt,1枠_選手pt,1枠_寄与_選手pt,1枠_モーターpt,1枠_寄与_モーターpt,1枠_展示pt,1枠_寄与_展示pt,1枠_気象pt,1枠_寄与_気象pt,1枠_強さpt,2枠_コースpt,2枠_寄与_コースpt,2枠_選手pt,2枠_寄与_選手pt,2枠_モーターpt,2枠_寄与_モーターpt,2枠_展示pt,2枠_寄与_展示pt,2枠_気象pt,2枠_寄与_気象pt,2枠_強さpt,3枠_コースpt,3枠_寄与_コースpt,3枠_選手pt,3枠_寄与_選手pt,3枠_モーターpt,3枠_寄与_モーターpt,3枠_展示pt,3枠_寄与_展示pt,3枠_気象pt,3枠_寄与_気象pt,3枠_強さpt,4枠_コースpt,4枠_寄与_コースpt,4枠_選手pt,4枠_寄与_選手pt,4枠_モーターpt,4枠_寄与_モーターpt,4枠_展示pt,4枠_寄与_展示pt,4枠_気象pt,4枠_寄与_気象pt,4枠_強さpt,5枠_コースpt,5枠_寄与_コースpt,5枠_選手pt,5枠_寄与_選手pt,5枠_モーターpt,5枠_寄与_モーターpt,5枠_展示pt,5枠_寄与_展示pt,5枠_気象pt,5枠_寄与_気象pt,5枠_強さpt,6枠_コースpt,6枠_寄与_コースpt,6枠_選手pt,6枠_寄与_選手pt,6枠_モーターpt,6枠_寄与_モーターpt,6枠_展示pt,6枠_寄与_展示pt,6枠_気象pt,6枠_寄与_気象pt,6枠_強さpt
202607270612,2026-07-27,06,12R,realtime,76.15,28.63,72.51,14.62,53.47,5.14,61.13,14.2,47.35,4.45,67.04,45.92,17.26,62.48,12.6,58.5,5.62,52.39,12.17,53.59,5.04,52.69,47.22,17.75,48.43,9.77,65.02,6.25,45.83,10.64,45.07,4.24,48.65,44.44,16.71,52.45,10.58,45.48,4.37,48.03,11.16,53.01,4.98,47.79,44.22,16.62,40.41,8.15,63.65,6.12,51.04,11.86,49.27,4.63,47.38,41.9,15.75,46.43,9.36,66.46,6.39,41.71,9.69,51.83,4.87,46.06
202607270901,2026-07-27,09,1R,daily,77.93,31.75,50.36,10.58,49.44,4.1,50.0,10.93,50.0,4.06,61.41,47.31,19.28,46.56,9.78,39.57,3.28,50.0,10.93,50.0,4.06,47.32,45.61,18.58,42.76,8.98,38.21,3.17,50.0,10.93,50.0,4.06,45.71,43.38,17.67,46.56,9.78,48.37,4.01,50.0,10.93,50.0,4.06,46.45,43.69,17.8,42.76,8.98,36.41,3.02,50.0,10.93,50.0,4.06,44.78,41.95,17.09,44.66,9.38,38.61,3.2,50.0,10.93,50.0,4.06,44.65
202607270901,2026-07-27,09,1R,realtime,77.93,31.75,50.36,10.58,51.34,4.26,74.27,16.23,35.88,2.91,65.72,47.31,19.28,46.56,9.78,43.43,3.6,53.13,11.61,45.52,3.69,47.96,45.61,18.58,42.76,8.98,46.58,3.86,29.68,6.48,54.61,4.43,42.34,43.38,17.67,46.56,9.78,50.0,4.15,61.49,13.43,55.81,4.53,49.56,43.69,17.8,42.76,8.98,27.49,2.28,34.99,7.64,54.05,4.38,41.09,41.95,17.09,44.66,9.38,40.72,3.38,46.47,10.15,54.17,4.39,44.4
202607270902,2026-07-27,09,2R,daily,65.83,26.82,46.56,9.78,31.24,2.59,50.0,10.93,50.0,4.06,54.17,49.04,19.98,46.56,9.78,51.47,4.27,50.0,10.93,50.0,4.06,49.01,49.64,20.23,44.66,9.38,43.62,3.62,50.0,10.93,50.0,4.06,48.2,46.26,18.85,46.56,9.78,63.31,5.25,50.0,10.93,50.0,4.06,48.86,45.71,18.62,46.56,9.78,46.33,3.84,50.0,10.93,50.0,4.06,47.22,43.39,17.68,44.66,9.38,44.8,3.72,50.0,10.93,50.0,4.06,45.75
202607270902,2026-07-27,09,2R,realtime,65.83,26.82,46.56,9.78,36.13,3.0,61.97,13.54,35.88,2.91,56.05,49.04,19.98,46.56,9.78,34.45,2.86,53.48,11.68,45.52,3.69,47.99,49.64,20.23,44.66,9.38,36.46,3.02,43.93,9.6,54.61,4.43,46.66,46.26,18.85,46.56,9.78,56.68,4.7,52.65,11.5,55.81,4.53,49.36,45.71,18.62,46.56,9.78,36.51,3.03,51.6,11.28,54.05,4.38,47.09,43.39,17.68,44.66,9.38,48.37,4.01,36.37,7.95,54.17,4.39,43.41
202607270903,2026-07-27,09,3R,daily,66.98,27.29,46.56,9.78,48.84,4.05,50.0,10.93,50.0,4.06,56.1,49.32,20.1,52.27,10.97,53.94,4.47,50.0,10.93,50.0,4.06,50.53,47.92,19.52,57.97,12.17,53.2,4.41,50.0,10.93,50.0,4.06,51.09,48.86,19.91,42.76,8.98,48.48,4.02,50.0,10.93,50.0,4.06,47.89,44.56,18.15,42.76,8.98,39.79,3.3,50.0,10.93,50.0,4.06,45.41,42.24,17.21,59.87,12.57,69.84,5.79,50.0,10.93,50.0,4.06,50.56
202607270903,2026-07-27,09,3R,realtime,66.98,27.29,46.56,9.78,37.44,3.11,56.7,12.39,25.35,2.06,54.62,49.32,20.1,52.27,10.97,50.16,4.16,50.34,11.0,51.82,4.2,50.44,47.92,19.52,57.97,12.17,45.07,3.74,52.22,11.41,62.83,5.1,51.94,48.86,19.91,42.76,8.98,45.98,3.81,46.82,10.23,62.01,5.03,47.96,44.56,18.15,42.76,8.98,50.0,4.15,35.47,7.75,58.1,4.71,43.74,42.24,17.21,59.87,12.57,71.64,5.94,58.46,12.77,39.87,3.23,51.73
202607270904,2026-07-27,09,4R,daily,63.24,25.77,46.56,9.78,55.78,4.63,50.0,10.93,50.0,4.06,55.15,51.92,21.15,50.36,10.58,50.51,4.19,50.0,10.93,50.0,4.06,50.9,47.63,19.41,56.07,11.77,36.86,3.06,50.0,10.93,50.0,4.06,49.22,47.99,19.55,48.46,10.18,44.52,3.69,50.0,10.93,50.0,4.06,48.4,46.28,18.86,54.17,11.37,42.29,3.51,50.0,10.93,50.0,4.06,48.72,42.81,17.44,46.56,9.78,64.75,5.37,50.0,10.93,50.0,4.06,47.57
202607270904,2026-07-27,09,4R,realtime,63.24,25.77,46.56,9.78,67.84,5.63,59.79,13.07,25.35,2.06,56.29,51.92,21.15,50.36,10.58,41.33,3.43,58.14,12.7,51.82,4.2,52.06,47.63,19.41,56.07,11.77,24.86,2.06,52.76,11.53,62.83,5.1,49.87,47.99,19.55,48.46,10.18,41.71,3.46,36.61,8.0,62.01,5.03,46.22,46.28,18.86,54.17,11.37,34.5,2.86,34.92,7.63,58.1,4.71,45.44,42.81,17.44,46.56,9.78,65.34,5.42,57.8,12.63,39.87,3.23,48.5
202607270905,2026-07-27,09,5R,daily,79.87,32.54,63.68,13.37,62.37,5.17,50.0,10.93,50.0,4.06,66.07,45.31,18.46,48.46,10.18,61.32,5.09,50.0,10.93,50.0,4.06,48.71,45.35,18.48,44.66,9.38,58.06,4.82,50.0,10.93,50.0,4.06,47.65,43.97,17.92,42.76,8.98,40.93,3.4,50.0,10.93,50.0,4.06,45.27,43.42,17.69,46.56,9.78,43.12,3.58,50.0,10.93,50.0,4.06,46.03,41.95,17.09,48.46,10.18,31.4,2.61,50.0,10.93,50.0,4.06,44.85
