レースコード,レース日,レース場,レース回,締切時刻,取得日時,2連単_1-2,2連単_1-3,2連単_1-4,2連単_1-5,2連単_1-6,2連単_2-1,2連単_2-3,2連単_2-4,2連単_2-5,2連単_2-6,2連単_3-1,2連単_3-2,2連単_3-4,2連単_3-5,2連単_3-6,2連単_4-1,2連単_4-2,2連単_4-3,2連単_4-5,2連単_4-6,2連単_5-1,2連単_5-2,2連単_5-3,2連単_5-4,2連単_5-6,2連単_6-1,2連単_6-2,2連単_6-3,2連単_6-4,2連単_6-5,2連複_1=2,2連複_1=3,2連複_1=4,2連複_1=5,2連複_1=6,2連複_2=3,2連複_2=4,2連複_2=5,2連複_2=6,2連複_3=4,2連複_3=5,2連複_3=6,2連複_4=5,2連複_4=6,2連複_5=6
202608100902,2026-08-10,09,02R,10:58,2026-08-10T10:48:24.955950+09:00,5.8,3.4,12.8,15.2,12.8,8.7,24.3,30.4,81.2,243.7,7.3,22.1,20.3,81.2,81.2,48.7,40.6,30.4,40.6,60.9,60.9,81.2,243.7,243.7,0.0,121.8,243.7,243.7,81.2,243.7,7.9,2.2,7.1,35.6,35.6,5.4,14.2,35.6,71.2,7.9,35.6,23.7,0.0,17.8,71.2
202608101302,2026-08-10,13,02R,11:01,2026-08-10T10:52:24.872168+09:00,2.0,18.0,18.0,8.1,15.6,5.8,28.6,49.0,13.2,24.5,114.5,114.5,68.7,0.0,343.5,171.7,68.7,0.0,171.7,0.0,19.0,31.2,343.5,0.0,49.0,57.2,57.2,343.5,0.0,114.5,1.8,10.1,33.7,8.4,25.3,10.1,50.6,6.7,9.2,50.6,50.6,20.2,101.2,0.0,25.3
202608100802,2026-08-10,08,02R,11:06,2026-08-10T10:56:24.481960+09:00,6.0,17.4,7.2,20.0,60.2,20.0,67.7,13.9,14.6,135.5,54.2,90.3,54.2,271.1,271.1,7.8,10.4,77.4,5.8,77.4,25.8,20.8,108.4,9.1,0.0,135.5,271.1,542.2,0.0,0.0,7.4,20.9,5.8,9.5,26.1,26.1,3.6,13.0,41.8,19.0,20.9,23.2,5.2,20.9,26.1
202608101802,2026-08-10,18,02R,11:08,2026-08-10T10:58:21.997473+09:00,7.8,8.6,18.7,15.9,55.9,17.0,19.4,30.1,21.0,82.5,9.3,9.8,10.3,10.0,12.8,33.7,38.7,42.9,34.4,78.3,29.0,31.9,42.9,44.7,58.0,261.2,209.0,348.3,285.0,165.0,5.0,3.2,13.8,8.7,55.2,7.3,13.3,11.0,64.5,12.9,11.0,48.3,18.4,48.3,24.1
202608102306,2026-08-10,23,06R,11:12,2026-08-10T11:02:25.938040+09:00,12.3,48.3,20.5,75.2,112.8,7.6,10.1,2.9,28.2,56.4,75.2,42.3,75.2,677.2,677.2,11.4,5.0,30.7,17.3,14.7,169.3,96.7,677.2,112.8,677.2,225.7,169.3,338.6,135.4,0.0,7.9,34.0,15.9,23.8,47.7,23.8,1.2,12.5,29.8,119.2,238.5,119.2,21.6,21.6,119.2
202608100301,2026-08-10,03,01R,11:14,2026-08-10T11:04:26.580795+09:00,11.6,14.8,9.3,16.4,15.3,17.0,14.8,14.8,15.8,28.0,11.6,59.5,22.6,47.6,18.3,11.0,20.7,31.7,22.6,21.6,28.0,43.2,119.0,119.0,43.2,47.6,158.7,95.2,59.5,52.9,6.4,5.2,3.5,21.1,16.4,21.1,6.7,36.9,49.2,9.8,73.8,14.7,21.1,14.7,18.4
202608102107,2026-08-10,21,07R,11:17,2026-08-10T11:08:28.856865+09:00,3.6,4.1,6.3,23.7,7.7,24.6,102.7,61.6,102.7,61.6,26.8,44.0,32.4,68.5,41.1,41.1,41.1,44.0,44.0,30.8,77.0,205.5,154.1,102.7,102.7,32.4,61.6,61.6,44.0,102.7,7.7,3.6,4.1,11.6,7.7,9.9,23.2,69.7,23.2,13.9,69.7,17.4,34.8,23.2,17.4
202608101602,2026-08-10,16,02R,11:23,2026-08-10T11:14:21.364230+09:00,9.7,31.3,25.6,20.1,23.5,25.6,20.1,20.1,23.5,35.2,6.0,17.6,11.2,16.5,70.5,23.5,17.6,18.8,12.2,40.2,31.3,31.3,47.0,31.3,35.2,56.4,56.4,282.0,282.0,40.2,8.6,3.7,8.6,39.0,39.0,7.0,26.0,26.0,19.5,7.0,7.0,39.0,6.0,78.0,39.0
202608100903,2026-08-10,09,03R,11:25,2026-08-10T11:16:22.732134+09:00,2.0,8.8,29.2,17.2,32.5,4.8,17.2,17.2,12.1,97.5,41.7,58.5,97.5,292.5,292.5,73.1,48.7,292.5,146.2,292.5,73.1,26.5,73.1,292.5,97.5,97.5,0.0,0.0,292.5,292.5,1.5,7.8,31.5,6.3,94.5,6.7,47.2,7.8,0.0,94.5,47.2,0.0,94.5,94.5,94.5
202608101303,2026-08-10,13,03R,11:26,2026-08-10T11:16:22.732134+09:00,14.9,14.9,19.8,17.0,17.0,39.7,10.8,119.2,19.8,10.8,7.9,13.2,23.8,59.6,14.9,119.2,59.6,0.0,59.6,119.2,29.8,59.6,0.0,0.0,0.0,19.8,6.6,9.1,119.2,59.6,8.4,10.5,21.0,14.0,10.5,6.0,14.0,14.0,5.2,14.0,21.0,7.0,42.0,21.0,14.0
