記録日,場コード,モーター番号,節数,走数,Σw,Σw2,n_eff,加重平均残差,素点
2026-08-20,09,33,6,36,24.236598,17.058181,34.435833,-0.175483,-0.135992
2026-08-20,09,35,6,34,25.763175,20.128455,32.975268,0.011344,0.008704
2026-08-20,09,36,6,43,29.751364,21.985228,40.260838,0.216459,0.173392
2026-08-20,09,37,6,37,27.897674,21.733417,35.810302,-0.195227,-0.152611
2026-08-20,09,38,6,36,26.614966,20.593373,34.397299,0.017913,0.013879
2026-08-20,09,39,6,36,25.790777,19.514378,34.08585,0.335451,0.259361
2026-08-20,09,40,6,38,27.60199,21.01013,36.262023,0.317716,0.249039
2026-08-20,09,41,6,37,27.094367,20.785426,35.318242,0.025355,0.01976
2026-08-20,09,43,6,36,23.781137,16.611375,34.045495,-0.417259,-0.322525
2026-08-20,09,44,6,38,27.577884,20.898811,36.391529,0.268177,0.21037
2026-08-20,09,45,5,28,17.2555,11.738885,25.364614,-0.005428,-0.003893
2026-08-20,09,48,6,42,29.714188,22.107749,39.937716,-0.162536,-0.129988
2026-08-20,09,49,6,33,24.995542,19.536006,31.980799,0.01363,0.010384
2026-08-20,09,51,5,33,24.411324,18.962197,31.426354,-0.155084,-0.117648
2026-08-20,09,54,5,29,21.123923,16.203937,27.53776,0.494817,0.362998
2026-08-20,09,55,6,34,23.122857,16.451954,32.498663,0.068032,0.052024
2026-08-20,09,56,5,34,22.625232,15.865542,32.264961,0.353181,0.269618
2026-08-20,09,58,6,42,29.918264,22.296726,40.145021,0.044462,0.035595
2026-08-20,09,59,6,37,26.875612,20.358079,35.479699,-0.537785,-0.419538
2026-08-20,09,60,6,32,24.058946,18.694819,30.962208,-0.3951,-0.298645
2026-08-20,09,62,6,34,24.147145,18.078471,32.252982,-0.187794,-0.143349
2026-08-20,09,63,6,37,27.357572,21.039174,35.573486,-0.162929,-0.127178
2026-08-20,09,64,6,32,21.678002,15.415409,30.484808,0.030219,0.022755
2026-08-20,09,67,5,29,18.344824,12.749801,26.395123,0.268462,0.194699
2026-08-20,09,68,6,41,29.320876,21.920446,39.219722,0.143156,0.114071
2026-08-20,09,71,6,35,26.476651,20.646489,33.953136,-0.325765,-0.251648
2026-08-20,09,72,6,34,23.121883,16.463421,32.473292,0.007047,0.005388
2026-08-20,09,73,6,43,28.236585,19.939921,39.985349,0.28828,0.230607
2026-08-20,11,12,6,48,30.162624,20.395363,44.607389,0.404716,0.330602
2026-08-20,11,13,6,51,30.357523,19.926925,46.247939,0.205497,0.168963
2026-08-20,11,14,6,47,28.927363,19.534254,42.83718,0.073563,0.05964
2026-08-20,11,15,6,41,23.280236,14.796466,36.628299,-0.325929,-0.25603
2026-08-20,11,16,6,44,26.549058,17.91375,39.347009,-0.366174,-0.29197
2026-08-20,11,17,6,43,27.197594,18.927617,39.080945,-0.117442,-0.093513
2026-08-20,11,18,6,48,28.674956,18.837818,43.649062,0.064587,0.052549
2026-08-20,11,19,6,46,29.658172,20.369208,43.183179,0.236536,0.19206
