stadium,n_samples,mu_waku,sigma_waku,mu_racer,sigma_racer,mu_motor,sigma_motor,mu_exhibit,sigma_exhibit,mu_weather,sigma_weather,mu_tenkai,sigma_tenkai,w_waku,w_racer,w_motor,w_exhibit,w_weather,w_tenkai,mu_y,sigma_y,mse,r2,fallback
鳴門,5285,5.048345,1.32993,54.65852,5.654468,0.004453,0.199135,50.016604,5.939722,0.000323,0.165141,0.00399,0.302441,0.342685,0.173961,0.111017,0.232725,0.103741,0.035871,3.539262,1.694842,0.785774,0.214226,0
丸亀,6269,5.056235,1.605568,53.410293,4.035731,0.012491,0.183186,49.998639,6.094445,0.000286,0.168378,0.001559,0.336497,0.367227,0.224355,0.093917,0.211446,0.073162,0.029892,3.533897,1.696837,0.719002,0.280998,0
児島,6966,5.037571,1.581334,53.413117,4.45747,0.00992,0.169591,49.994914,5.554725,-0.000111,0.148376,0.001962,0.320077,0.399393,0.207587,0.081462,0.178756,0.089517,0.043285,3.529285,1.698048,0.735284,0.264716,0
宮島,6378,5.057169,1.587731,54.027378,5.225795,-0.002014,0.170056,49.999621,6.028583,-0.000291,0.153506,0.004119,0.375414,0.449017,0.186834,0.081426,0.183833,0.069671,0.029219,3.543117,1.692986,0.726195,0.273805,0
徳山,6924,5.045252,1.825569,53.092673,4.087669,0.028075,0.174695,50.020868,8.090653,5.5e-05,0.152516,0.004322,0.369913,0.428748,0.244949,0.078157,0.186896,0.046938,0.014311,3.522819,1.699534,0.636385,0.363615,0
下関,5688,5.045988,1.735089,53.384122,4.401265,-0.005153,0.163018,50.000909,6.348066,0.000106,0.139252,0.000245,0.457682,0.428413,0.219386,0.083397,0.188417,0.080387,0.0,3.526195,1.699471,0.690699,0.309301,0
若松,5925,5.047879,1.601938,53.88189,5.08522,-0.002369,0.154937,49.987597,7.048547,-0.000236,0.166721,0.002931,0.341654,0.392874,0.214155,0.070173,0.216049,0.083402,0.023348,3.533502,1.696688,0.701493,0.298507,0
芦屋,4380,5.043977,1.631862,54.969621,6.147601,-0.002605,0.172233,49.994343,7.101195,-0.000464,0.20844,0.001504,0.352791,0.447691,0.144275,0.088298,0.203571,0.097801,0.018365,3.539498,1.696233,0.735845,0.264155,0
福岡,3907,5.057762,1.742252,53.996518,5.303743,0.015348,0.184203,49.990153,6.895617,-0.000362,0.14916,0.00474,0.309894,0.423067,0.18094,0.077296,0.24012,0.015662,0.062915,3.538009,1.694864,0.639289,0.360711,0
唐津,6283,5.048412,1.656673,53.771906,4.928264,1e-06,0.172792,49.995564,5.928912,-0.000252,0.144244,0.00457,0.450861,0.444471,0.222035,0.081955,0.177062,0.066725,0.007751,3.541461,1.693625,0.683973,0.316027,0
大村,5905,5.04228,1.759646,53.688701,4.958142,0.001839,0.194315,49.99662,6.622774,0.000164,0.150991,0.000759,0.316554,0.450033,0.188338,0.082432,0.183847,0.067964,0.027385,3.536325,1.695362,0.684046,0.315954,0
