レースコード,レース日,レース場コード,レース回,状態,1枠_枠番pt,1枠_寄与_枠番pt,1枠_選手pt,1枠_寄与_選手pt,1枠_モーターpt,1枠_寄与_モーターpt,1枠_展示pt,1枠_寄与_展示pt,1枠_気象pt,1枠_寄与_気象pt,1枠_強さpt,2枠_枠番pt,2枠_寄与_枠番pt,2枠_選手pt,2枠_寄与_選手pt,2枠_モーターpt,2枠_寄与_モーターpt,2枠_展示pt,2枠_寄与_展示pt,2枠_気象pt,2枠_寄与_気象pt,2枠_強さpt,3枠_枠番pt,3枠_寄与_枠番pt,3枠_選手pt,3枠_寄与_選手pt,3枠_モーターpt,3枠_寄与_モーターpt,3枠_展示pt,3枠_寄与_展示pt,3枠_気象pt,3枠_寄与_気象pt,3枠_強さpt,4枠_枠番pt,4枠_寄与_枠番pt,4枠_選手pt,4枠_寄与_選手pt,4枠_モーターpt,4枠_寄与_モーターpt,4枠_展示pt,4枠_寄与_展示pt,4枠_気象pt,4枠_寄与_気象pt,4枠_強さpt,5枠_枠番pt,5枠_寄与_枠番pt,5枠_選手pt,5枠_寄与_選手pt,5枠_モーターpt,5枠_寄与_モーターpt,5枠_展示pt,5枠_寄与_展示pt,5枠_気象pt,5枠_寄与_気象pt,5枠_強さpt,6枠_枠番pt,6枠_寄与_枠番pt,6枠_選手pt,6枠_寄与_選手pt,6枠_モーターpt,6枠_寄与_モーターpt,6枠_展示pt,6枠_寄与_展示pt,6枠_気象pt,6枠_寄与_気象pt,6枠_強さpt
202607231301,2026-07-23,13,1R,daily,68.07,27.17,41.95,7.79,43.19,4.72,50.0,11.88,50.0,3.41,54.97,51.29,20.47,41.95,7.79,51.56,5.63,50.0,11.88,50.0,3.41,49.19,51.67,20.62,48.87,9.08,48.97,5.35,50.0,11.88,50.0,3.41,50.34,48.36,19.3,45.41,8.44,31.88,3.48,50.0,11.88,50.0,3.41,46.51,44.11,17.6,41.95,7.79,71.75,7.84,50.0,11.88,50.0,3.41,48.53,35.85,14.31,43.68,8.12,52.18,5.7,50.0,11.88,50.0,3.41,43.42
202607231301,2026-07-23,13,1R,realtime,68.07,27.17,41.95,7.79,50.77,5.55,60.24,14.31,55.05,3.76,58.58,51.29,20.47,41.95,7.79,52.86,5.78,49.95,11.86,50.79,3.47,49.37,51.67,20.62,48.87,9.08,65.43,7.15,55.21,13.11,45.57,3.11,53.08,48.36,19.3,45.41,8.44,46.57,5.09,65.71,15.61,48.38,3.3,51.74,44.11,17.6,41.95,7.79,62.93,6.88,31.11,7.39,50.8,3.47,43.13,35.85,14.31,43.68,8.12,66.24,7.24,37.76,8.97,49.36,3.37,42.0
202607231302,2026-07-23,13,2R,daily,68.07,27.17,47.14,8.76,52.28,5.71,50.0,11.88,50.0,3.41,56.93,51.29,20.47,45.41,8.44,46.23,5.05,50.0,11.88,50.0,3.41,49.25,51.67,20.62,45.41,8.44,43.97,4.81,50.0,11.88,50.0,3.41,49.15,48.36,19.3,43.68,8.12,64.26,7.02,50.0,11.88,50.0,3.41,49.73,44.11,17.6,31.57,5.87,48.87,5.34,50.0,11.88,50.0,3.41,44.1,35.85,14.31,57.52,10.69,55.1,6.02,50.0,11.88,50.0,3.41,46.31
202607231302,2026-07-23,13,2R,realtime,68.07,27.17,47.14,8.76,55.35,6.05,55.64,13.22,56.26,3.84,59.03,51.29,20.47,45.41,8.44,62.22,6.8,64.98,15.43,50.98,3.48,54.62,51.67,20.62,45.41,8.44,44.55,4.87,31.95,7.59,44.51,3.04,44.55,48.36,19.3,43.68,8.12,66.83,7.3,42.41,10.07,48.0,3.28,48.07,35.85,14.31,31.57,5.87,44.85,4.9,53.75,12.77,49.2,3.36,41.2,44.11,17.6,57.52,10.69,57.97,6.34,51.28,12.18,51.0,3.48,50.29
202607231303,2026-07-23,13,3R,daily,68.07,27.17,45.41,8.44,34.06,3.72,50.0,11.88,50.0,3.41,54.62,51.29,20.47,43.68,8.12,48.17,5.26,50.0,11.88,50.0,3.41,49.14,51.67,20.62,48.87,9.08,36.48,3.99,50.0,11.88,50.0,3.41,48.98,48.36,19.3,47.14,8.76,38.94,4.26,50.0,11.88,50.0,3.41,47.61,44.11,17.6,38.49,7.15,47.01,5.14,50.0,11.88,50.0,3.41,45.18,35.85,14.31,64.45,11.97,57.05,6.23,50.0,11.88,50.0,3.41,47.81
202607231303,2026-07-23,13,3R,realtime,68.07,27.17,45.41,8.44,38.93,4.25,56.63,13.45,51.21,3.5,56.81,51.29,20.47,43.68,8.12,50.75,5.55,40.13,9.53,46.33,3.16,46.83,51.67,20.62,48.87,9.08,47.57,5.2,44.92,10.67,49.27,3.36,48.93,48.36,19.3,47.14,8.76,42.37,4.63,44.31,10.52,51.62,3.53,46.74,35.85,14.31,38.49,7.15,50.0,5.46,46.76,11.11,48.26,3.3,41.33,44.11,17.6,64.45,11.97,64.07,7.0,67.25,15.97,53.26,3.64,56.19
202607231304,2026-07-23,13,4R,daily,68.07,27.17,48.87,9.08,35.04,3.83,50.0,11.88,50.0,3.41,55.37,51.29,20.47,66.18,12.3,26.77,2.93,50.0,11.88,50.0,3.41,50.98,51.67,20.62,41.95,7.79,44.5,4.86,50.0,11.88,50.0,3.41,48.57,48.36,19.3,52.33,9.72,42.18,4.61,50.0,11.88,50.0,3.41,48.92,44.11,17.6,48.87,9.08,44.77,4.89,50.0,11.88,50.0,3.41,46.87,35.85,14.31,45.41,8.44,49.55,5.42,50.0,11.88,50.0,3.41,43.45
202607231304,2026-07-23,13,4R,realtime,68.07,27.17,48.87,9.08,36.13,3.95,68.2,16.2,57.07,3.9,60.29,51.29,20.47,66.18,12.3,40.31,4.41,47.55,11.29,51.11,3.49,51.95,51.67,20.62,41.95,7.79,53.57,5.85,55.73,13.24,43.8,2.99,50.5,48.36,19.3,52.33,9.72,48.94,5.35,41.95,9.96,47.74,3.26,47.6,44.11,17.6,48.87,9.08,41.47,4.53,53.21,12.64,51.12,3.49,47.35,35.85,14.31,45.41,8.44,41.21,4.5,33.36,7.92,49.11,3.35,38.52
202607231305,2026-07-23,13,5R,daily,68.07,27.17,47.14,8.76,43.47,4.75,50.0,11.88,50.0,3.41,55.97,51.29,20.47,43.68,8.12,52.18,5.7,50.0,11.88,50.0,3.41,49.58,51.67,20.62,52.33,9.72,61.61,6.73,50.0,11.88,50.0,3.41,52.37,48.36,19.3,54.06,10.05,46.25,5.05,50.0,11.88,50.0,3.41,49.69,44.11,17.6,48.87,9.08,40.18,4.39,50.0,11.88,50.0,3.41,46.37,35.85,14.31,43.68,8.12,42.18,4.61,50.0,11.88,50.0,3.41,42.32
202607231305,2026-07-23,13,5R,realtime,51.29,20.47,47.14,8.76,38.77,4.24,61.31,14.56,51.11,3.49,51.52,51.67,20.62,43.68,8.12,66.24,7.24,57.46,13.65,43.8,2.99,52.61,68.07,27.17,52.33,9.72,54.58,5.96,60.86,14.46,57.07,3.9,61.21,48.36,19.3,54.06,10.05,38.52,4.21,46.68,11.09,47.74,3.26,47.9,44.11,17.6,48.87,9.08,43.78,4.78,39.76,9.44,51.12,3.49,44.4,35.85,14.31,43.68,8.12,45.59,4.98,33.92,8.06,49.11,3.35,38.82
